session,held_month,matched_simple_reference,matched_mindful_reference,pattern_distance,robust_rate_distance,absolute_log_rate_ratio,unexpected_silent_channels,global_mindful_kld,multi_reference_mindful_kld,simple_evidence_count,combined_evidence_count,simple_decision,global_mindful_decision,multi_mindful_decision,combined_decision,windows,decoder_loss,decoder_r2_x,decoder_r2_y,decoder_r2_mean
indy_20161007_02,2016-10,2016-09,2016-09,0.5352791827341203,0.4043730635676486,0.10859520293480414,1,2.528928902015334,0.3476158895055615,0,0,pass,pass,pass,pass,215,0.3762642737100291,0.555611789226532,0.7804751992225647,0.6680434942245483
indy_20161011_03,2016-10,2016-09,2016-12,0.38958280756237307,1.1591163151953732,0.5767271651688847,0,6.691744651864171,0.4008331209617719,0,0,pass,pass,pass,pass,306,0.35918382432725693,0.5136677622795105,0.657384991645813,0.5855263769626617
indy_20161013_03,2016-10,2016-04,2016-12,0.6798953454289268,3.8580854327590792,1.6907938568998864,2,25.8620283856194,8.123579450565117,2,3,abstain,warning,warning,abstain,228,1.2729639240733364,-0.014958024024963379,-0.09331083297729492,-0.05413442850112915
indy_20161014_04,2016-10,2016-09,2016-09,0.33647054725126224,0.5120311481590953,0.05767363562779045,0,3.348061570576305,0.40991818295865284,0,0,pass,pass,pass,pass,229,0.2655929805305847,0.6513279676437378,0.7813520431518555,0.7163400053977966
indy_20161017_02,2016-10,2016-09,2016-09,0.6586286860833175,0.7753956135396531,0.024649895435750857,3,3.212558383690742,0.5299554496237704,0,0,pass,pass,pass,pass,217,0.5173217267155098,0.63758385181427,0.6416941285133362,0.6396389901638031
indy_20161024_03,2016-10,2016-12,2016-12,0.6787544368203149,1.3387099534117601,0.45452123244947495,5,7.98392483288309,1.2807456382263656,0,0,pass,pass,pass,pass,206,0.6835629420604521,0.5503946542739868,0.4499201774597168,0.5001574158668518
indy_20161025_04,2016-10,2016-09,2016-12,0.39259315488706137,0.6799964690627454,0.38060162592607616,1,6.795619419134504,0.4693167955174369,0,0,pass,pass,pass,pass,222,0.3176142484647734,0.7195144891738892,0.8064459562301636,0.7629802227020264
indy_20161026_03,2016-10,2016-09,2016-12,0.34268742278495057,0.752456543141403,0.2686008181872365,1,5.294128411539809,0.6437085394753425,0,0,pass,pass,pass,pass,218,0.35842958502813216,0.6494911313056946,0.7875528335571289,0.7185219824314117
indy_20161027_03,2016-10,2016-09,2016-12,0.570619195876249,0.9657211099433172,0.41979671173514305,2,6.8351472710304835,0.6215904191216179,0,0,pass,pass,pass,pass,259,0.48455220579640745,0.5996586680412292,0.5311965346336365,0.5654276013374329
indy_20161206_02,2016-12,2016-09,2016-10,0.6477047573332546,1.1252375973098316,0.6469455884702837,2,6.346137472845426,3.440581885979498,0,0,pass,pass,pass,pass,338,0.660766256659694,0.38793331384658813,0.24076694250106812,0.3143501281738281
indy_20161207_02,2016-12,2016-09,2016-10,0.595457210631968,0.6467125508220873,0.09452239390829839,2,4.581786447442283,0.546120061315744,0,0,pass,pass,pass,pass,192,0.3580378818511963,0.6787179112434387,0.7683106660842896,0.7235142886638641
indy_20161212_02,2016-12,2016-10,2016-10,0.4731902301216435,0.5075253588550466,0.09590417324332624,1,7.064859473234234,1.5247335121957262,0,0,pass,pass,pass,pass,250,0.363913583984375,0.6258586049079895,0.7268589735031128,0.6763587892055511
indy_20161220_02,2016-12,2016-04,2016-10,0.6543952375013729,1.8412950309621046,0.8327855493522367,5,5.79864013934581,1.8050814385363465,0,0,pass,pass,pass,pass,258,0.4471009513204412,0.5457593202590942,0.5875815153121948,0.5666704177856445
