seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
42,4,f3_bp_trend,validation,63,0.8412698412698413,0.8402217741935484,0.84026369168357,0.9334677419354839
42,4,final_in_sample_fusion,training,253,0.932806324110672,0.9327896512935883,0.9328021248339973,0.9840644919385078
42,4,final_in_sample_fusion,validation,63,0.9206349206349206,0.9203629032258065,0.9205548549810845,0.967741935483871
42,5,f1_bp_cssd,training,254,0.7125984251968503,0.7127356150793651,0.7125583270032709,0.8017733134920635
42,5,f1_bp_cssd,validation,62,0.5483870967741935,0.5483870967741935,0.5441176470588236,0.6004162330905307
42,5,f2_erd_cssd,training,254,0.905511811023622,0.9053819444444444,0.9054590570719603,0.968812003968254
42,5,f2_erd_cssd,validation,62,0.8225806451612904,0.8225806451612903,0.8221642764015646,0.9209157127991675
42,5,f3_bp_trend,training,254,0.8385826771653543,0.8386036706349207,0.8385801751530653,0.923673115079365
42,5,f3_bp_trend,validation,62,0.8225806451612904,0.8225806451612903,0.8214192196910186,0.8293444328824141
42,5,final_in_sample_fusion,training,254,0.9448818897637795,0.9449404761904762,0.9448818897637795,0.9876612103174603
42,5,final_in_sample_fusion,validation,62,0.7903225806451613,0.7903225806451613,0.7876152832674572,0.9344432882414152
43,1,f1_bp_cssd,training,252,0.6825396825396826,0.6827086614173228,0.6824596774193548,0.7469606299212598
43,1,f1_bp_cssd,validation,64,0.75,0.75,0.7497556207233627,0.771484375
43,1,f2_erd_cssd,training,252,0.9126984126984127,0.9126929133858268,0.9126929133858268,0.9796535433070866
43,1,f2_erd_cssd,validation,64,0.8125,0.8125,0.8123167155425219,0.9248046875
43,1,f3_bp_trend,training,252,0.8452380952380952,0.8454488188976378,0.8451771451976244,0.9194330708661417
43,1,f3_bp_trend,validation,64,0.765625,0.765625,0.7651088818204062,0.8466796875
43,1,final_in_sample_fusion,training,252,0.9603174603174603,0.960251968503937,0.9603074596774194,0.9916850393700788
43,1,final_in_sample_fusion,validation,64,0.90625,0.90625,0.9058823529411765,0.982421875
43,2,f1_bp_cssd,training,252,0.7182539682539683,0.7187086614173228,0.7175021709955001,0.8257007874015748
43,2,f1_bp_cssd,validation,64,0.640625,0.640625,0.6405372405372405,0.73828125
43,2,f2_erd_cssd,training,252,0.9087301587301587,0.9085669291338583,0.9086596800882515,0.9703307086614172
43,2,f2_erd_cssd,validation,64,0.71875,0.71875,0.71875,0.8466796875
43,2,f3_bp_trend,training,252,0.8492063492063492,0.849259842519685,0.8492063492063492,0.9217007874015748
43,2,f3_bp_trend,validation,64,0.75,0.75,0.75,0.84375
43,2,final_in_sample_fusion,training,252,0.9523809523809523,0.9525039370078741,0.9523779527559055,0.9916220472440944
43,2,final_in_sample_fusion,validation,64,0.8125,0.8125,0.8123167155425219,0.9072265625
43,3,f1_bp_cssd,training,253,0.7272727272727273,0.7273465816772904,0.7272045379963433,0.796400449943757
43,3,f1_bp_cssd,validation,63,0.6190476190476191,0.6169354838709677,0.6111111111111112,0.659274193548387
43,3,f2_erd_cssd,training,253,0.9011857707509882,0.9011686039245095,0.9011795953441137,0.9659417572803399
43,3,f2_erd_cssd,validation,63,0.7142857142857143,0.7132056451612903,0.712474645030426,0.8387096774193548
43,3,f3_bp_trend,training,253,0.8379446640316206,0.8380514935633046,0.8378534694324168,0.9153855768028996
43,3,f3_bp_trend,validation,63,0.7777777777777778,0.7762096774193548,0.775,0.8558467741935484
43,3,final_in_sample_fusion,training,253,0.9407114624505929,0.9407574053243344,0.9407077572064683,0.9865016872890888
43,3,final_in_sample_fusion,validation,63,0.8095238095238095,0.8074596774193548,0.8055555555555556,0.9203629032258065
43,4,f1_bp_cssd,training,253,0.7549407114624506,0.7550306211723534,0.7548449612403101,0.8122109736282965
43,4,f1_bp_cssd,validation,63,0.7301587301587301,0.7318548387096775,0.7276887871853547,0.7651209677419355
43,4,f2_erd_cssd,training,253,0.8893280632411067,0.8892950881139857,0.8893125,0.9698787651543557
43,4,f2_erd_cssd,validation,63,0.7936507936507936,0.7918346774193548,0.790268886043534,0.9032258064516129
43,4,f3_bp_trend,training,253,0.8379446640316206,0.8379890013748281,0.8379345363643466,0.918135233095863
43,4,f3_bp_trend,validation,63,0.8253968253968254,0.826108870967742,0.825220680958386,0.876008064516129
