seed,fold,bin_number,prediction_time_ms,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,elapsed_seconds
43,3,10,500,253,63,0.8095238095238095,0.8079637096774194,0.8071428571428572,0.38557740890788406,0.009992375038564205
43,4,1,50,253,63,0.5079365079365079,0.5075604838709677,0.5074401008827238,0.8697287131738032,0.008838500129058957
43,4,2,100,253,63,0.5396825396825397,0.5403225806451613,0.53921815889029,0.8194668052869015,0.00889020785689354
43,4,3,150,253,63,0.6190476190476191,0.6174395161290323,0.6142857142857143,0.7247624847311719,0.0090548328589648
43,4,4,200,253,63,0.5396825396825397,0.5383064516129032,0.5354691075514875,0.7538129369298616,0.009508582996204495
43,4,5,250,253,63,0.6507936507936508,0.6502016129032258,0.6499999999999999,0.6198514810472849,0.010191333014518023
43,4,6,300,253,63,0.7142857142857143,0.7127016129032258,0.7107142857142857,0.5458714981697372,0.010001624934375286
43,4,7,350,253,63,0.7301587301587301,0.7293346774193548,0.7290665317480395,0.5392875806105035,0.009793083881959319
43,4,8,400,253,63,0.746031746031746,0.7444556451612903,0.7428571428571429,0.4852224502564624,0.009884916013106704
43,4,9,450,253,63,0.7142857142857143,0.7142137096774194,0.7142137096774194,0.48854527018554367,0.00995308393612504
43,4,10,500,253,63,0.7777777777777778,0.7782258064516129,0.7777217741935484,0.4115915777988694,0.00982083403505385
43,5,1,50,254,62,0.6451612903225806,0.6451612903225807,0.6436781609195402,0.7381514866179365,0.00872187502682209
43,5,2,100,254,62,0.5967741935483871,0.596774193548387,0.5958279009126467,0.7806758484645339,0.009129500016570091
43,5,3,150,254,62,0.6774193548387096,0.6774193548387097,0.6770833333333333,0.6730631874055086,0.009144250070676208
43,5,4,200,254,62,0.6290322580645161,0.6290322580645161,0.6242424242424243,0.653895916623543,0.009298374876379967
43,5,5,250,254,62,0.6774193548387096,0.6774193548387097,0.6688034188034189,0.6380851363884797,0.009484207956120372
43,5,6,300,254,62,0.7258064516129032,0.7258064516129032,0.719904331650279,0.5509060332000638,0.009793333010748029
43,5,7,350,254,62,0.7903225806451613,0.7903225806451613,0.7876152832674572,0.4572769988255094,0.009745208080857992
43,5,8,400,254,62,0.8709677419354839,0.8709677419354839,0.8697478991596639,0.38114401622355504,0.009749584132805467
43,5,9,450,254,62,0.8387096774193549,0.8387096774193548,0.8380355276907001,0.35042740422272983,0.00986166694201529
43,5,10,500,254,62,0.8548387096774194,0.8548387096774193,0.8544980443285528,0.3431290132296175,0.009856540942564607
44,1,1,50,252,64,0.46875,0.46875,0.4682306940371457,0.8306872568680383,0.008775957860052586
44,1,2,100,252,64,0.46875,0.46875,0.4682306940371457,0.856039053879673,0.00889845797792077
44,1,3,150,252,64,0.46875,0.46875,0.4682306940371457,0.8262247425458378,0.00920045911334455
44,1,4,200,252,64,0.484375,0.484375,0.48424908424908425,0.8158353899139952,0.009337625000625849
44,1,5,250,252,64,0.578125,0.578125,0.5755342667649226,0.698593924062896,0.009466166142374277
44,1,6,300,252,64,0.6875,0.6875,0.6875,0.564993818625916,0.009678709087893367
44,1,7,350,252,64,0.6875,0.6875,0.6875,0.5719751009210284,0.00975191593170166
44,1,8,400,252,64,0.75,0.75,0.7477832512315271,0.4933447313170308,0.009826207999140024
44,1,9,450,252,64,0.71875,0.71875,0.7142857142857143,0.4703347298505573,0.009702999843284488
44,1,10,500,252,64,0.765625,0.765625,0.7627872498146775,0.4036879262001482,0.00970749999396503
44,2,1,50,252,64,0.375,0.375,0.35935935935935936,0.9416048955153228,0.008784834062680602
44,2,2,100,252,64,0.5625,0.5625,0.5620723362658846,0.8801334538978048,0.009100666968151927
44,2,3,150,252,64,0.5625,0.5625,0.5586206896551724,0.7876329124098771,0.009126124903559685
44,2,4,200,252,64,0.5625,0.5625,0.5625,0.7797978885564245,0.009233875200152397
44,2,5,250,252,64,0.59375,0.59375,0.5933528836754643,0.6479701269422853,0.009386833058670163
44,2,6,300,252,64,0.640625,0.640625,0.6405372405372405,0.6284100929493864,0.00986733310855925
44,2,7,350,252,64,0.65625,0.65625,0.6559139784946236,0.5955084187474236,0.009705791948363185
44,2,8,400,252,64,0.6875,0.6875,0.6875,0.5535391002235723,0.009714291896671057
44,2,9,450,252,64,0.78125,0.78125,0.78125,0.489622515368597,0.00972120906226337
44,2,10,500,252,64,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.009926749859005213
44,3,1,50,253,63,0.5238095238095238,0.5241935483870968,0.5236895161290323,0.8202803113220068,0.008756499970331788
44,3,2,100,253,63,0.5714285714285714,0.5710685483870968,0.5709962168978562,0.8031570199099901,0.008896542014554143
44,3,3,150,253,63,0.5396825396825397,0.5383064516129032,0.5354691075514875,0.7564504061343823,0.009099167073145509
44,3,4,200,253,63,0.6031746031746031,0.6028225806451613,0.6027742749054225,0.7495202369717131,0.009386416990309954
44,3,5,250,253,63,0.6031746031746031,0.6018145161290323,0.5995423340961098,0.7076186565306076,0.009513667086139321
44,3,6,300,253,63,0.6984126984126984,0.6980846774193548,0.6981084489281211,0.6713021180944206,0.009726916905492544
44,3,7,350,253,63,0.6825396825396826,0.6824596774193548,0.6824596774193548,0.5747460040336972,0.010058665880933404
44,3,8,400,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.397696442178098,0.010577624896541238
44,3,9,450,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.39315971451710063,0.010134084150195122
44,3,10,500,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.010000208858400583
44,4,1,50,253,63,0.5396825396825397,0.5388104838709677,0.537819377687832,0.890917016850614,0.008892458863556385
44,4,2,100,253,63,0.4126984126984127,0.4122983870967742,0.41210592686002523,0.8356152741273053,0.009079334093257785
44,4,3,150,253,63,0.5238095238095238,0.5211693548387097,0.5088357588357588,0.7254891333559709,0.009209041949361563
44,4,4,200,253,63,0.5555555555555556,0.5539314516129032,0.55,0.7090599555088001,0.009365750011056662
44,4,5,250,253,63,0.6825396825396826,0.6804435483870968,0.6759259259259259,0.5947719373802218,0.009494667174294591
44,4,6,300,253,63,0.6666666666666666,0.6628024193548387,0.6436843522757878,0.6551987871591242,0.009913292014971375
44,4,7,350,253,63,0.6825396825396826,0.6799395161290323,0.6725571725571726,0.6230335995951214,0.009884542087092996
44,4,8,400,253,63,0.6984126984126984,0.6955645161290323,0.6870588235294117,0.5277671898529837,0.009920667158439755
44,4,9,450,253,63,0.7301587301587301,0.7278225806451613,0.7231842853450503,0.43588163932625495,0.009864832973107696
44,4,10,500,253,63,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.00995049998164177
44,5,1,50,254,62,0.41935483870967744,0.41935483870967744,0.41935483870967744,0.8285637950365146,0.008821208029985428
44,5,2,100,254,62,0.4838709677419355,0.4838709677419355,0.4700854700854701,0.8159853936012601,0.008949375012889504
44,5,3,150,254,62,0.5967741935483871,0.5967741935483871,0.5915678524374176,0.7846881511657214,0.009119082940742373
44,5,4,200,254,62,0.6129032258064516,0.6129032258064515,0.6112852664576802,0.7676304424011184,0.00938900001347065
44,5,5,250,254,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.7668671088869629,0.009590292116627097
44,5,6,300,254,62,0.6935483870967742,0.6935483870967742,0.6928292046936115,0.6624531242223346,0.009866500040516257
44,5,7,350,254,62,0.8064516129032258,0.8064516129032258,0.8046218487394958,0.44774392336097635,0.00981237506493926
44,5,8,400,254,62,0.7903225806451613,0.7903225806451613,0.7876152832674572,0.3896350345587987,0.009937542024999857
44,5,9,450,254,62,0.9032258064516129,0.903225806451613,0.9028213166144201,0.31443744655282524,0.010053083999082446
44,5,10,500,254,62,0.9032258064516129,0.9032258064516129,0.9023109243697479,0.25493880657659124,0.010311667108908296
