seed,fold_a,fold_b,branch,class_specific_side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
43,1,3,erd,right,0.8498250705878405,0.7675034611333194,30.263236678437067,39.8697718833742
43,1,4,bp,left,0.7751979559519034,0.7751979559519034,39.177016609588996,39.177016609588996
43,1,4,bp,right,0.5951635418839408,0.5951635418839408,53.47570849306011,53.47570849306011
43,1,4,erd,left,0.6714198532655589,0.17216844221412825,41.700073630593806,80.08607913533348
43,1,4,erd,right,0.5183060355558753,0.08319885213369185,56.082481674083624,85.22754020869985
43,1,5,bp,left,0.7203315719814918,0.7203315719814918,43.91813757810219,43.91813757810219
43,1,5,bp,right,0.510688972300446,0.510688972300446,59.29026725588416,59.29026725588416
43,1,5,erd,left,0.7502545096455263,0.5454629604434045,37.78814891056943,56.943693593594
43,1,5,erd,right,0.7228467650933511,0.448311662757552,41.504405151767315,63.364586520094946
43,2,3,bp,left,0.5411729458748316,0.5411729458748316,57.23647789850985,57.23647789850985
43,2,3,bp,right,0.8743595571644297,0.8743595571644297,29.030730183549046,29.030730183549046
43,2,3,erd,left,0.8158701827125993,0.5797244787022849,32.127640976748204,54.5688337275389
43,2,3,erd,right,0.6117385674394172,0.3607433690659122,48.98429564564736,68.8541441237123
43,2,4,bp,left,0.7446893267922301,0.7446893267922301,41.86757860893728,41.86757860893728
43,2,4,bp,right,0.5186193552154934,0.5186193552154934,58.76031393757501,58.76031393757501
43,2,4,erd,left,0.8734465539369229,0.6940104584296157,25.095756022043755,46.051584104173266
43,2,4,erd,right,0.6474318108540311,0.2831524986474114,45.25088161968785,73.55155385826818
43,2,5,bp,left,0.7706432573715752,0.7706432573715752,39.58831200842054,39.58831200842054
43,2,5,bp,right,0.8019631859647361,0.8019631859647361,36.68201613129642,36.68201613129642
43,2,5,erd,left,0.87787351182633,0.7192548976867716,24.691263500439053,44.00700237129346
43,2,5,erd,right,0.531223253712186,0.08750588075073677,54.09248944969263,84.97986162872557
43,3,4,bp,left,0.6807330681557822,0.6807330681557822,47.09904583348864,47.09904583348864
43,3,4,bp,right,0.49865005069196766,0.49865005069196766,60.08927181067011,60.08927181067011
43,3,4,erd,left,0.7341144517511276,0.33534449537407757,37.03869825602742,70.4065121142042
43,3,4,erd,right,0.5171939402401589,0.0909818228610245,55.65718671817536,84.77990685426055
43,3,5,bp,left,0.3865518490219505,0.3865518490219505,67.25988521142213,67.25988521142213
43,3,5,bp,right,0.7973457863746951,0.7973457863746951,37.12261408755842,37.12261408755842
43,3,5,erd,left,0.9315398640188235,0.8825613341004703,20.581676751562902,28.047103818215835
43,3,5,erd,right,0.6554733342889475,0.38658325368961505,47.21068780695305,67.25793418592279
43,4,5,bp,left,0.7603280691590777,0.7603280691590777,40.50687171819564,40.50687171819564
43,4,5,bp,right,0.6639335016124407,0.6639335016124407,48.399441522425846,48.399441522425846
43,4,5,erd,left,0.7224448709132725,0.32130548184478,37.32329782948471,71.2581067252258
43,4,5,erd,right,0.4698175023170344,0.047291412329121464,57.481944106081585,87.28939065580221
44,1,2,bp,left,0.852547695075047,0.852547695075047,31.510138467341086,31.510138467341086
44,1,2,bp,right,0.451197045302267,0.451197045302267,63.179488894859006,63.179488894859006
44,1,2,erd,left,0.643403637987828,0.005768384924808197,40.088851998211084,89.66949405629396
44,1,2,erd,right,0.6585760665243102,0.33305649000880905,45.245261718892074,70.54560263547296
44,1,3,bp,left,0.9179144649950256,0.9179144649950256,23.376929549168096,23.376929549168096
44,1,3,bp,right,0.07408170062010005,0.07408170062010005,85.7515391604741,85.7515391604741
44,1,3,erd,left,0.901951667170701,0.7513746249546787,21.890518805453066,41.29040714976353
44,1,3,erd,right,0.6145469248455141,0.1120391524027282,47.075600465315695,83.56712284300727
44,1,4,bp,left,0.9030520537810155,0.9030520537810155,25.437807900409336,25.437807900409336
44,1,4,bp,right,0.10675927390688006,0.10675927390688006,83.87146465773063,83.87146465773063
