seed,fold,layer,split,cases,accuracy,balanced_accuracy,macro_f1,roc_auc
43,4,f1_bp_cssd,training,253,0.5770750988142292,0.5771466066741657,0.5769693560233151,0.6277965254343207
43,4,f1_bp_cssd,validation,63,0.5714285714285714,0.5730846774193548,0.5675057208237986,0.5685483870967742
43,4,f2_erd_cssd,training,253,0.7628458498023716,0.7628421447319085,0.7628421447319085,0.845769278840145
43,4,f2_erd_cssd,validation,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.6129032258064516
43,4,f3_bp_trend,training,253,0.7272727272727273,0.7273465816772904,0.7272045379963433,0.801212348456443
43,4,f3_bp_trend,validation,63,0.6190476190476191,0.6189516129032258,0.6189516129032258,0.6693548387096774
43,4,final_in_sample_fusion,training,253,0.7944664031620553,0.7944631921009874,0.7944631921009874,0.8831396075490563
43,4,final_in_sample_fusion,validation,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.685483870967742
43,5,f1_bp_cssd,training,254,0.5669291338582677,0.5670262896825398,0.5669022817460317,0.5979662698412698
43,5,f1_bp_cssd,validation,62,0.5645161290322581,0.564516129032258,0.5644028103044496,0.5431841831425599
43,5,f2_erd_cssd,training,254,0.6968503937007874,0.6969866071428572,0.696808098345916,0.7785218253968255
43,5,f2_erd_cssd,validation,62,0.6290322580645161,0.6290322580645161,0.628935727296383,0.6545265348595213
43,5,f3_bp_trend,training,254,0.7204724409448819,0.7206101190476191,0.7204334413319484,0.7783358134920635
43,5,f3_bp_trend,validation,62,0.6290322580645161,0.6290322580645161,0.6266038229903116,0.6992715920915712
43,5,final_in_sample_fusion,training,254,0.7795275590551181,0.7796378968253967,0.7795138888888888,0.8584449404761906
43,5,final_in_sample_fusion,validation,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.7263267429760666
44,1,f1_bp_cssd,training,252,0.5992063492063492,0.5988976377952756,0.5984412224097945,0.6360944881889763
44,1,f1_bp_cssd,validation,64,0.453125,0.453125,0.452991452991453,0.517578125
44,1,f2_erd_cssd,training,252,0.7380952380952381,0.7383307086614173,0.7379466817923993,0.8012598425196851
44,1,f2_erd_cssd,validation,64,0.59375,0.59375,0.592156862745098,0.6025390625
44,1,f3_bp_trend,training,252,0.7380952380952381,0.7381417322834646,0.7380952380952381,0.7949606299212598
44,1,f3_bp_trend,validation,64,0.625,0.625,0.611336032388664,0.6435546875
44,1,final_in_sample_fusion,training,252,0.7738095238095238,0.7737007874015749,0.7737204429811434,0.8806299212598425
44,1,final_in_sample_fusion,validation,64,0.625,0.625,0.6156156156156156,0.6767578125
44,2,f1_bp_cssd,training,252,0.5992063492063492,0.5988346456692913,0.5981368911344438,0.6366614173228345
44,2,f1_bp_cssd,validation,64,0.484375,0.484375,0.47813194959229055,0.48828125
44,2,f2_erd_cssd,training,252,0.746031746031746,0.746267716535433,0.7458876914350538,0.8412598425196851
44,2,f2_erd_cssd,validation,64,0.609375,0.609375,0.6085148030340103,0.6748046875
44,2,f3_bp_trend,training,252,0.7261904761904762,0.7260787401574803,0.7260826415034893,0.7869606299212598
44,2,f3_bp_trend,validation,64,0.625,0.625,0.6235294117647059,0.6611328125
44,2,final_in_sample_fusion,training,252,0.8055555555555556,0.8055748031496064,0.8055524935829803,0.8850393700787401
44,2,final_in_sample_fusion,validation,64,0.640625,0.640625,0.6405372405372405,0.7158203125
44,3,f1_bp_cssd,training,253,0.5691699604743083,0.5689288838895138,0.5674399636095556,0.6258592675915511
44,3,f1_bp_cssd,validation,63,0.4603174603174603,0.46068548387096775,0.46018145161290325,0.48991935483870963
44,3,f2_erd_cssd,training,253,0.766798418972332,0.7668103987001624,0.766798418972332,0.8293338332708411
44,3,f2_erd_cssd,validation,63,0.5873015873015873,0.5866935483870968,0.5863636363636364,0.6179435483870966
44,3,f3_bp_trend,training,253,0.7509881422924901,0.7509373828271466,0.7509258825184004,0.8198975128108986
44,3,f3_bp_trend,validation,63,0.6349206349206349,0.6360887096774194,0.6334429547179358,0.5977822580645162
44,3,final_in_sample_fusion,training,253,0.8142292490118577,0.814273215848019,0.8142176392469338,0.8867641544806899
44,3,final_in_sample_fusion,validation,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.6058467741935484
