seed,fold,fusion_training,subset,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss
42,5,inner_oof,f1_f3,62,0.6129032258064516,0.6129032258064516,0.6125,0.6552848135197861
42,5,inner_oof,f2_f3,62,0.6935483870967742,0.6935483870967742,0.6934686442883164,0.6538136430449826
42,5,inner_oof,f1_f2_f3,62,0.6129032258064516,0.6129032258064516,0.6125,0.6542827151670123
43,1,in_sample,f1,64,0.5625,0.5625,0.5555555555555556,0.7064740812418067
43,1,in_sample,f2,64,0.5625,0.5625,0.5620723362658846,0.7634818784629765
43,1,in_sample,f3,64,0.65625,0.65625,0.65625,0.6268279216150847
43,1,in_sample,f1_f2,64,0.5625,0.5625,0.5620723362658846,0.7688463818616348
43,1,in_sample,f1_f3,64,0.640625,0.640625,0.6405372405372405,0.6212766453684523
43,1,in_sample,f2_f3,64,0.59375,0.59375,0.5901477832512315,0.7193155458749247
43,1,in_sample,f1_f2_f3,64,0.609375,0.609375,0.6069761729304839,0.7168313923686044
43,1,inner_oof,f1,64,0.46875,0.46875,0.4493927125506073,0.6979962376313475
43,1,inner_oof,f2,64,0.546875,0.546875,0.5458771715194519,0.6792922147042453
43,1,inner_oof,f3,64,0.65625,0.65625,0.6559139784946236,0.6635163563971027
43,1,inner_oof,f1_f2,64,0.5625,0.5625,0.5555555555555556,0.6864538069766467
43,1,inner_oof,f1_f3,64,0.578125,0.578125,0.5755342667649226,0.6697376849465297
43,1,inner_oof,f2_f3,64,0.578125,0.578125,0.5696139476961395,0.6569384190854073
43,1,inner_oof,f1_f2_f3,64,0.609375,0.609375,0.6046454163577959,0.6653235210908717
43,2,in_sample,f1,64,0.515625,0.515625,0.5145583557621727,0.7096073836410162
43,2,in_sample,f2,64,0.546875,0.546875,0.5458771715194519,0.8653148271830814
43,2,in_sample,f3,64,0.546875,0.546875,0.5467643467643468,0.9517526680356594
43,2,in_sample,f1_f2,64,0.5625,0.5625,0.5607843137254902,0.8665658341374929
43,2,in_sample,f1_f3,64,0.546875,0.546875,0.5467643467643468,0.9514853969111668
43,2,in_sample,f2_f3,64,0.53125,0.53125,0.5294117647058824,0.9133863592259479
43,2,in_sample,f1_f2_f3,64,0.53125,0.53125,0.5294117647058824,0.9133660623592292
43,2,inner_oof,f1,64,0.5,0.5,0.5,0.6941086742101753
43,2,inner_oof,f2,64,0.546875,0.546875,0.5458771715194519,0.6938936404342773
43,2,inner_oof,f3,64,0.5625,0.5625,0.5625,0.7094663393356077
43,2,inner_oof,f1_f2,64,0.46875,0.46875,0.45545545545545546,0.6953787195676537
43,2,inner_oof,f1_f3,64,0.546875,0.546875,0.5467643467643468,0.7110435631650337
43,2,inner_oof,f2_f3,64,0.546875,0.546875,0.5467643467643468,0.7043730981418129
43,2,inner_oof,f1_f2_f3,64,0.53125,0.53125,0.5294117647058824,0.7058030777414268
43,3,in_sample,f1,63,0.4603174603174603,0.46068548387096775,0.46018145161290325,0.7128551628849142
43,3,in_sample,f2,63,0.5873015873015873,0.5882056451612903,0.5863636363636364,0.8694829162582903
43,3,in_sample,f3,63,0.6666666666666666,0.6668346774193548,0.6666666666666666,0.609144660701492
43,3,in_sample,f1_f2,63,0.5714285714285714,0.5720766129032258,0.5709962168978562,0.8767871093835029
43,3,in_sample,f1_f3,63,0.6984126984126984,0.6980846774193548,0.6981084489281211,0.6163684994771926
43,3,in_sample,f2_f3,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,0.7426984741219329
