outer_seed,outer_fold,inner_seed,selected_c,c,inner_oof_accuracy,inner_oof_balanced_accuracy,inner_oof_macro_f1,inner_fold_balanced_accuracy_mean,inner_fold_balanced_accuracy_std,inner_training_accuracy_mean
43,4,43004,3.0,0.03,0.5612648221343873,0.5613360829896263,0.5611551263419436,0.561617943548387,0.03959220710020871,0.7695036748357222
43,4,43004,3.0,0.1,0.5770750988142292,0.5772090988626422,0.5766518101493471,0.577242943548387,0.06056135130318648,0.8406614631401073
43,4,43004,3.0,0.3,0.5928853754940712,0.5930196225471815,0.5924779107045117,0.5934979838709677,0.048152890008877736,0.8945682268498472
43,4,43004,3.0,1.0,0.616600790513834,0.6166729158855143,0.6165049302267436,0.6171875,0.028167241950902953,0.9604770725534021
43,4,43004,3.0,3.0,0.6363636363636364,0.6363267091613548,0.6363125,0.63671875,0.011045668851215272,0.985505211545443
43,4,43004,3.0,10.0,0.6245059288537549,0.6244219472565928,0.6242946242946243,0.6246219758064516,0.039975350969393295,1.0
43,5,43005,1.0,0.001,0.5590551181102362,0.5592757936507937,0.5588089330024814,0.559475806451613,0.13306897088502745,0.6456324056213832
43,5,43005,1.0,0.003,0.5669291338582677,0.5670262896825398,0.5669022817460317,0.5672883064516129,0.11031783559031737,0.6692683934968311
43,5,43005,1.0,0.01,0.5984251968503937,0.5985243055555556,0.5984002976190477,0.5987903225806452,0.12080452138049087,0.7007577845136401
43,5,43005,1.0,0.03,0.5905511811023622,0.5907118055555556,0.5904496124031007,0.590851814516129,0.1128179694123547,0.744089280793607
43,5,43005,1.0,0.1,0.6062992125984252,0.6063988095238095,0.6062748015873016,0.606476814516129,0.09030796759039744,0.818889501240011
43,5,43005,1.0,0.3,0.5984251968503937,0.5985863095238095,0.5983255813953489,0.598664314516129,0.060241695668848724,0.8753513364563241
43,5,43005,1.0,1.0,0.6220472440944882,0.6220238095238095,0.6220238095238095,0.6219758064516129,0.057528903309620225,0.9462179663819235
43,5,43005,1.0,3.0,0.6141732283464567,0.6141493055555556,0.6141493055555556,0.6144153225806452,0.07504271315230947,0.9895150179112703
43,5,43005,1.0,10.0,0.6181102362204725,0.6180555555555556,0.6180569550591408,0.618195564516129,0.07885111747064909,1.0
44,1,44001,3.0,0.001,0.5158730158730159,0.5163464566929133,0.5143741707209198,0.5162550403225806,0.04203434626831855,0.6190842057863334
44,1,44001,3.0,0.003,0.5079365079365079,0.5081574803149607,0.5076574021554169,0.5080645161290323,0.02374129265141892,0.6402554109860941
44,1,44001,3.0,0.01,0.5515873015873016,0.5517165354330709,0.5515237420269312,0.5520413306451613,0.025155788311236552,0.701117080526375
44,1,44001,3.0,0.03,0.5555555555555556,0.5556535433070866,0.5555275590551181,0.5559475806451613,0.03640448366938918,0.744747358941088
44,1,44001,3.0,0.1,0.5952380952380952,0.5953385826771653,0.5952125984251968,0.5958921370967742,0.06238523406616088,0.8227278450262773
44,1,44001,3.0,0.3,0.5833333333333334,0.5835275590551181,0.5831692370705273,0.5842993951612904,0.06959950626147716,0.8782982870888806
