session,held_month,matched_hidden_reference,matched_output_reference,hidden_state_kld,output_state_kld,output_delta_kld,chunk_hidden_kld_max,hidden_abnormal,output_state_abnormal,output_delta_abnormal,output_abnormal,temporal_abnormal,hidden_severe,output_state_severe,output_delta_severe,output_severe,temporal_severe,evidence_count,severe_evidence_count,diagnostic_decision,decision,hidden_state_kld_warning_threshold,hidden_state_kld_severe_threshold,hidden_state_kld_to_warning,hidden_state_kld_to_severe,output_state_kld_warning_threshold,output_state_kld_severe_threshold,output_state_kld_to_warning,output_state_kld_to_severe,output_delta_kld_warning_threshold,output_delta_kld_severe_threshold,output_delta_kld_to_warning,output_delta_kld_to_severe,chunk_hidden_kld_max_warning_threshold,chunk_hidden_kld_max_severe_threshold,chunk_hidden_kld_max_to_warning,chunk_hidden_kld_max_to_severe,decoder_r2_mean,layer1_decision,layer1_evidence_count,known_failure,layer2_flag,proposed_combined_decision
indy_20160630_01,2016-06,2016-04,2016-04,3.4679379252133877,1.9325676041037834,0.5651276162273614,9.19532194329678,True,True,True,True,False,True,True,False,True,False,2,2,abstain,abstain,1.669748996043651,2.2967069078911555,2.076921701064301,1.5099610286789535,1.1200364011282518,1.5549934150756866,1.7254507104921237,1.242814011536968,0.5280793683131539,0.8455228952539926,1.0701565903484374,0.668376479690238,79.40797001113988,104.36542079269866,0.11579847642505907,0.08810697904971297,-0.1364778876304626,pass,0,True,True,abstain
indy_20160915_01,2016-09,2016-10,2016-10,0.05643439585037591,0.0129786033740098,0.015493868303664615,0.8837931482286341,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.045872212901911694,0.03578545664366038,0.7032784068135087,0.9583137255068506,0.01845443177022125,0.013543167575050058,0.404702729371377,0.6705920601147652,0.03828456587809816,0.02310475954787325,60.24317151391137,85.33466652859347,0.014670428631476487,0.010356789147731625,0.7473778128623962,pass,0,False,False,pass
indy_20160916_01,2016-09,2016-10,2016-10,0.08693887057163785,0.051178657592158006,0.04323268389089796,0.6923194505301464,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.07066751260857791,0.055128563646516374,0.7032784068135087,0.9583137255068506,0.07277154693835107,0.053404909300542154,0.404702729371377,0.6705920601147652,0.10682577791864932,0.06446942405416956,60.24317151391137,85.33466652859347,0.011492081726976739,0.008112991808530333,0.7651617527008057,pass,0,False,False,pass
indy_20160921_01,2016-09,2016-10,2016-10,0.09658798841524963,0.05163191544892398,0.06597740141987807,0.8590325570392294,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.07851071499194934,0.06124713872894705,0.7032784068135087,0.9583137255068506,0.07341603972012102,0.05387788369786308,0.404702729371377,0.6705920601147652,0.16302682594298407,0.09838679182778676,60.24317151391137,85.33466652859347,0.01425941788009719,0.010066630502990124,0.7606107294559479,pass,0,False,False,pass
indy_20160927_04,2016-09,2016-10,2016-10,0.06279904115632995,0.03016856369115617,0.021576709118972692,0.35086592527925964,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.051045660054494825,0.0398213240471559,0.7032784068135087,0.9583137255068506,0.042897042478308445,0.03148088448300171,0.404702729371377,0.6705920601147652,0.05331495824722433,0.032175610780837534,60.24317151391137,85.33466652859347,0.005824160920847894,0.004111645824053152,0.7542126476764679,pass,0,False,False,pass
indy_20160927_06,2016-09,2016-06,2016-06,0.14715376233122202,0.06729230608621917,0.034250186087797285,34.45754172614599,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.11961266906926879,0.09331125995956548,0.7032784068135087,0.9583137255068506,0.09568373695861723,0.07021949523954525,0.404702729371377,0.6705920601147652,0.08463047961400692,0.05107454758998444,60.24317151391137,85.33466652859347,0.571974231439476,0.403793008490871,0.687347412109375,pass,0,False,False,pass
indy_20160930_02,2016-09,2016-10,2016-10,0.03819625272173077,0.004258383864804927,0.001836851760175895,0.6314273401339605,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.031047495246549837,0.024220518801118463,0.7032784068135087,0.9583137255068506,0.0060550470817087665,0.00444362190737973,0.404702729371377,0.6705920601147652,0.004538767907567781,0.002739149282294717,60.24317151391137,85.33466652859347,0.010481309736293534,0.007399423538174668,0.7104288935661316,pass,0,False,False,pass
indy_20160930_05,2016-09,2016-10,2016-10,0.05671699126701135,0.012915924981497628,0.0028014446618431776,21.856930860449516,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.2302523091931334,1.5770204195612414,0.0461019181538537,0.03596465243157165,0.7032784068135087,0.9583137255068506,0.01836530861230124,0.013477762696831267,0.404702729371377,0.6705920601147652,0.006922228239465173,0.004177569089266786,60.24317151391137,85.33466652859347,0.3628117562735273,0.2561319068742809,0.7262429594993591,pass,0,False,False,pass
indy_20161005_06,2016-10,2016-09,2016-09,0.05867197175797534,0.02533002200570711,0.03725143813014209,0.5094563783599173,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.07406542636199355,0.028146374511338803,0.4273917670782257,1.388640222869288,0.05926651834889216,0.018240881683067457,0.26914983132478487,0.5448972337072683,0.1384040924223747,0.06836415350596999,41.28972933306603,44.26913851786655,0.01233857394051575,0.011508161112155055,0.708014190196991,pass,0,False,False,pass
indy_20161006_02,2016-10,2016-06,2016-06,0.05586464295027316,0.025033135821005414,0.022184783070948566,115.9945905820245,False,False,False,False,True,False,False,False,False,True,1,1,warning,pass,0.7921640992278509,2.0845303445507435,0.07052155355781246,0.026799630476145968,0.4273917670782257,1.388640222869288,0.05857187187329135,0.018027085352086743,0.26914983132478487,0.5448972337072683,0.08242540209574957,0.04071370104049153,41.28972933306603,44.26913851786655,2.8092843536548116,2.6202134142549514,0.7040852308273315,pass,0,False,False,pass
indy_20161007_02,2016-10,2016-09,2016-09,0.11574678673143213,0.06051267452125586,0.06347277017726638,5.039043314766092,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.14611465836971713,0.055526553995249125,0.4273917670782257,1.388640222869288,0.14158596206693003,0.0435769276481284,0.26914983132478487,0.5448972337072683,0.23582689933278603,0.11648576327947639,41.28972933306603,44.26913851786655,0.12204108373097709,0.1138274536951377,0.6680434942245483,pass,0,False,False,pass
indy_20161011_03,2016-10,2016-06,2016-06,0.27171562311604514,0.15594612626245263,0.043939694171794386,46.38458317167172,False,False,False,False,True,False,False,False,False,True,1,1,warning,pass,0.7921640992278509,2.0845303445507435,0.3430042126131385,0.13034860529919756,0.4273917670782257,1.388640222869288,0.364878638932485,0.11230131728449275,0.26914983132478487,0.5448972337072683,0.16325365672911035,0.08063849741509209,41.28972933306603,44.26913851786655,1.123392764275778,1.0477859909776965,0.5855263769626617,pass,0,False,False,pass
indy_20161013_03,2016-10,2016-06,2016-06,4.05353694874459,2.166836694422397,0.772082421048839,10.126774258818546,True,True,True,True,False,True,True,True,True,False,2,2,abstain,abstain,0.7921640992278509,2.0845303445507435,5.1170419774081015,1.944580446785583,0.4273917670782257,1.388640222869288,5.0699074276407385,1.5604017935942793,0.26914983132478487,0.5448972337072683,2.868597083076608,1.4169321723215427,41.28972933306603,44.26913851786655,0.2452613379257182,0.22875471712040407,-0.0541344285011291,abstain,3,True,True,abstain
indy_20161014_04,2016-10,2016-09,2016-09,0.07316342093211237,0.03561973333273949,0.006980158189540897,0.6434063268615802,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.0923589203340914,0.03509827579309261,0.4273917670782257,1.388640222869288,0.08334211390230171,0.02565080050694481,0.26914983132478487,0.5448972337072683,0.02593409832428204,0.012810045193385591,41.28972933306603,44.26913851786655,0.015582720866768228,0.014533969903252314,0.7163400053977966,pass,0,False,False,pass
indy_20161017_02,2016-10,2016-12,2016-09,0.1028400510555727,0.0238978801154206,0.01402624907068395,0.9756131548002194,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.12982165078651553,0.04933487839330865,0.4273917670782257,1.388640222869288,0.05591563047363653,0.01720955487378972,0.26914983132478487,0.5448972337072683,0.05211316314650921,0.025741090618601272,41.28972933306603,44.26913851786655,0.023628470579944435,0.022038223183549695,0.6396389901638031,pass,0,False,False,pass
indy_20161024_03,2016-10,2016-12,2016-12,0.15819075761016999,0.0774374939844773,0.04277815704390342,0.7257962972076077,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.19969442917744423,0.0758879610573686,0.4273917670782257,1.388640222869288,0.18118620888245582,0.05576497980482771,0.26914983132478487,0.5448972337072683,0.15893807859118714,0.0785068346793716,41.28972933306603,44.26913851786655,0.01757813163057886,0.016395085188176502,0.5001574158668518,pass,0,False,False,pass
indy_20161025_04,2016-10,2016-09,2016-09,0.032701886348361686,0.012777427288194865,0.013174687340834046,0.4610261997542495,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.04128170713648513,0.01568789172767335,0.4273917670782257,1.388640222869288,0.029896287838076692,0.009201395060985208,0.26914983132478487,0.5448972337072683,0.048949268427874525,0.024178297348288247,41.28972933306603,44.26913851786655,0.011165638700010711,0.010414166961215752,0.7629802227020264,pass,0,False,False,pass
indy_20161026_03,2016-10,2016-12,2016-12,0.11784413738585142,0.020909322255681984,0.012315734674251733,0.49076865909976286,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.14876227981136494,0.05653270421028537,0.4273917670782257,1.388640222869288,0.048923081505814175,0.015057407895385563,0.26914983132478487,0.5448972337072683,0.045757913403223556,0.022601940168534673,41.28972933306603,44.26913851786655,0.011885974236860422,0.01108602235170431,0.7185219824314117,pass,0,False,False,pass
indy_20161027_03,2016-10,2016-06,2016-06,0.09356197113249998,0.012625642801144199,0.0015097863583126703,20.75687091323869,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,0.7921640992278509,2.0845303445507435,0.11810933015482271,0.04488395737537915,0.4273917670782257,1.388640222869288,0.029541146492963032,0.009092090660499789,0.26914983132478487,0.5448972337072683,0.005609464255954897,0.0027707726611872715,41.28972933306603,44.26913851786655,0.5027126902625632,0.4688790342026068,0.5654276013374329,pass,0,False,False,pass
indy_20161206_02,2016-12,2016-06,2016-06,2.5438819640131025,0.9814865062467149,0.6011847372030246,23.89878535321349,True,True,True,True,False,True,False,True,True,False,2,2,abstain,pass,1.157077736230577,1.904382705361282,2.198540240088216,1.3358039625393996,0.5954829327737858,1.1493555419063213,1.6482193732655062,0.8539450765764101,0.33766287135513834,0.4964700835651984,1.7804289076566135,1.2109183556154288,49.82086390333036,55.37095900464465,0.4796943184201977,0.43161227081526266,0.3143501281738281,pass,0,False,False,pass
indy_20161207_02,2016-12,2016-09,2016-09,0.03222408012572453,0.0020722709285818652,0.00162595089697537,0.5801237593875324,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.157077736230577,1.904382705361282,0.027849537776693568,0.01692101069549005,0.5954829327737858,1.1493555419063213,0.00347998374853354,0.0018029851103730672,0.33766287135513834,0.4964700835651984,0.004815308507121203,0.003275022908327655,49.82086390333036,55.37095900464465,0.011644193093744265,0.010477040127458696,0.7235142886638641,pass,0,False,False,pass
indy_20161212_02,2016-12,2016-10,2016-10,0.055166282226909225,0.02104438645334139,0.015108297095378087,0.6177877833788785,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.157077736230577,1.904382705361282,0.0476772480357499,0.028968065122416443,0.5954829327737858,1.1493555419063213,0.03534003292976964,0.01830972722195011,0.33766287135513834,0.4964700835651984,0.044743732216527506,0.03043143503609318,49.82086390333036,55.37095900464465,0.012400182071864503,0.011157252727500296,0.6763587892055511,pass,0,False,False,pass
indy_20161220_02,2016-12,2016-06,2016-10,0.3525694449956376,0.08709616227664796,0.03077002323699274,1.0870416780324659,False,False,False,False,False,False,False,False,False,False,0,0,pass,pass,1.157077736230577,1.904382705361282,0.30470679190855954,0.1851358154025828,0.5954829327737858,1.1493555419063213,0.14626139135667615,0.07577825929493519,0.33766287135513834,0.4964700835651984,0.0911264632486947,0.061977597957222935,49.82086390333036,55.37095900464465,0.021819004988386015,0.019631982136001695,0.5666704177856445,pass,0,False,False,pass
