variant,seed,fold_a,fold_b,branch,side,mean_abs_cosine,minimum_abs_cosine,mean_principal_angle_deg,maximum_principal_angle_deg
baseline,44,1,2,erd,right,0.6585760665243197,0.3330564900088191,45.24526171889127,70.54560263547235
baseline,44,1,3,bp,left,0.9179144649950309,0.9179144649950309,23.376929549167336,23.376929549167336
baseline,44,1,3,bp,right,0.07408170062013815,0.07408170062013815,85.7515391604719,85.7515391604719
baseline,44,1,3,erd,left,0.9019516671706992,0.7513746249546767,21.89051880545344,41.290407149763695
baseline,44,1,3,erd,right,0.6145469248455182,0.1120391524027282,47.0756004653152,83.56712284300727
baseline,44,1,4,bp,left,0.9030520537809886,0.9030520537809886,25.437807900412924,25.437807900412924
baseline,44,1,4,bp,right,0.10675927390696704,0.10675927390696704,83.87146465772561,83.87146465772561
baseline,44,1,4,erd,left,0.6678461315378454,0.061898223306772734,37.897105915688556,86.4512244564089
baseline,44,1,4,erd,right,0.7388093323813165,0.41502230605720214,38.465977901946495,65.47927879030063
baseline,44,1,5,bp,left,0.5541421591439577,0.5541421591439577,56.34835085748091,56.34835085748091
baseline,44,1,5,bp,right,0.6025893750809271,0.6025893750809271,52.944426056873425,52.944426056873425
baseline,44,1,5,erd,left,0.7019963713755834,0.24669002670486234,39.138883175964615,75.71826892493321
baseline,44,1,5,erd,right,0.47723076532174274,0.015655159546794712,59.19882954093623,89.102988787301
baseline,44,2,3,bp,left,0.7424338894689505,0.7424338894689505,42.06083959619907,42.06083959619907
baseline,44,2,3,bp,right,0.10234128146435535,0.10234128146435535,84.12599210527962,84.12599210527962
baseline,44,2,3,erd,left,0.7785132499318467,0.4226510952890447,32.27390651510067,64.99792428172388
baseline,44,2,3,erd,right,0.7755274526724917,0.5233913825433752,36.367482469175464,58.43998508653691
baseline,44,2,4,bp,left,0.6959544881795756,0.6959544881795756,45.89667353890295,45.89667353890295
baseline,44,2,4,bp,right,0.15592400979824386,0.15592400979824386,81.02961028714849,81.02961028714849
baseline,44,2,4,erd,left,0.8021618837814347,0.5735059424387844,33.67030295607773,55.00493056448254
baseline,44,2,4,erd,right,0.7643897850241905,0.5646775294962626,37.520739536421125,55.62009862056922
baseline,44,2,5,bp,left,0.6350584844090941,0.6350584844090941,50.57567771877983,50.57567771877983
baseline,44,2,5,bp,right,0.3482919566831344,0.3482919566831344,69.61712090944663,69.61712090944663
baseline,44,2,5,erd,left,0.8325863754596541,0.6673207249779801,30.38273333307967,48.139387657151886
baseline,44,2,5,erd,right,0.5812858212666302,0.25240467094995694,51.83700188099156,75.38014602839793
baseline,44,3,4,bp,left,0.9083718677420767,0.9083718677420767,24.718683472497137,24.718683472497137
baseline,44,3,4,bp,right,0.04970311304141624,0.04970311304141624,87.15104756355775,87.15104756355775
baseline,44,3,4,erd,left,0.6906468625285577,0.11341288680928835,35.62046338770211,83.48790875084032
baseline,44,3,4,erd,right,0.5296890819494072,0.0062328273555290505,53.172475674100816,89.64288298584728
baseline,44,3,5,bp,left,0.44906695376612643,0.44906695376612643,63.316163582247654,63.316163582247654
baseline,44,3,5,bp,right,0.30475674611406717,0.30475674611406717,72.25647022664566,72.25647022664566
baseline,44,3,5,erd,left,0.654909380450616,0.033953957171433916,39.248939204987494,88.05420755943136
baseline,44,3,5,erd,right,0.5697315526412665,0.1840489345649212,51.674596969728576,79.39431173111805
baseline,44,4,5,bp,left,0.32296859596151123,0.32296859596151123,71.15745167510845,71.15745167510845
baseline,44,4,5,bp,right,0.6492010917526863,0.6492010917526863,49.51860533537055,49.51860533537055
baseline,44,4,5,erd,left,0.9282405687885475,0.8438238660825508,20.027885095290635,32.453859023828905
baseline,44,4,5,erd,right,0.5810473534146571,0.340748928429451,53.07691203195352,70.07749060337215
covariance_ledoit_wolf,42,1,2,bp,left,0.6887194321577347,0.6887194321577347,46.4711738810447,46.4711738810447
covariance_ledoit_wolf,42,1,2,bp,right,0.5638404934609769,0.5638404934609769,55.67818820804913,55.67818820804913
covariance_ledoit_wolf,42,1,2,erd,left,0.7960689994598841,0.5444567195447737,34.17888136707119,57.012454437099215
covariance_ledoit_wolf,42,1,2,erd,right,0.6267116507862519,0.26580154925551014,48.929491553828946,74.58541358287107
