variant,family,seed,fold,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,bp_condition_number,erd_condition_number,bp_left_shrinkage,bp_right_shrinkage,erd_left_shrinkage,erd_right_shrinkage,f1_features,f2_features,f3_features,elapsed_seconds
covariance_oas,covariance,43,3,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7369624283913224,1036.1315755942476,53.65514493677805,0.005456700234318963,0.0053448414483478835,0.006958161669687825,0.00577067786423078,8,24,38,0.01345745800063014
trial_trace_normalized,trial_normalization,43,3,253,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,0.8764602443473198,1376.202585177705,59.53689299840454,,,,,8,24,38,0.01370516698807478
f2_components_2,f2_reduction,43,3,253,63,0.6349206349206349,0.6355846774193548,0.6345523329129887,0.6873506989825678,1389.2179798925827,57.23065641802916,,,,,8,16,38,0.011963833007030189
f2_components_1,f2_reduction,43,3,253,63,0.6507936507936508,0.6522177419354839,0.648580121703854,0.6877094030784215,1389.2179798925827,57.23065641802916,,,,,8,8,38,0.011328417109325528
fusion_hard_vote,voting,43,3,253,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,2.5150944304474514,1389.2179798925827,57.23065641802916,,,,,8,24,38,0.010697959107346833
fusion_soft_vote,voting,43,3,253,63,0.6031746031746031,0.6038306451612903,0.6027742749054225,0.6499291462190576,1389.2179798925827,57.23065641802916,,,,,8,24,38,0.01185704197268933
baseline,reference,43,4,253,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7173883147668731,1389.4901326670756,57.23580094753594,,,,,8,24,38,0.012319833040237427
covariance_ridge_1e3,covariance,43,4,253,63,0.6349206349206349,0.6350806451612903,0.6349206349206349,0.7149018148924379,1307.4162402013403,56.6473420576118,,,,,8,24,38,0.01262883294839412
covariance_ledoit_wolf,covariance,43,4,253,63,0.6666666666666666,0.6673387096774194,0.6663303909205549,0.7013114786851758,1277.6777369624856,52.60427573501463,0.0015206132002645483,0.0012631598928991071,0.009403938459702917,0.007451563126002551,8,24,38,0.013913625036366284
covariance_oas,covariance,43,4,253,63,0.6666666666666666,0.6673387096774194,0.6663303909205549,0.7042413347240664,1036.4553128704872,53.63850530197945,0.005470968557386175,0.00532424682856493,0.00721965779158789,0.005641411734250218,8,24,38,0.013317624921910465
trial_trace_normalized,trial_normalization,43,4,253,63,0.6349206349206349,0.6360887096774194,0.6334429547179358,0.7360437099380326,1365.7716352338014,59.384864227279664,,,,,8,24,38,0.01375862502027303
f2_components_2,f2_reduction,43,4,253,63,0.6190476190476191,0.6194556451612903,0.6189516129032258,0.7866890545610206,1389.4901326670756,57.23580094753594,,,,,8,16,38,0.011350582935847342
f2_components_1,f2_reduction,43,4,253,63,0.6507936507936508,0.6502016129032258,0.6499999999999999,0.6784016820190156,1389.4901326670756,57.23580094753594,,,,,8,8,38,0.012350749922916293
fusion_hard_vote,voting,43,4,253,63,0.6031746031746031,0.6043346774193548,0.6015684290412345,2.4893506147743105,1389.4901326670756,57.23580094753594,,,,,8,24,38,0.011341792065650225
fusion_soft_vote,voting,43,4,253,63,0.6190476190476191,0.6199596774193548,0.6181818181818182,0.6435064453041238,1389.4901326670756,57.23580094753594,,,,,8,24,38,0.011018791934475303
baseline,reference,43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.6983279911254603,1311.1600601887833,56.638732164714234,,,,,8,24,38,0.012341125053353608
covariance_ridge_1e3,covariance,43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.7012138704170375,1237.7986875962986,56.053953189322065,,,,,8,24,38,0.01198974996805191
covariance_ledoit_wolf,covariance,43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.7078805284642526,1212.457113094039,52.00308789548149,0.0014499367957814592,0.0012934003779584162,0.008885963760244421,0.008091641567634766,8,24,38,0.013621082995086908
covariance_oas,covariance,43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.7069183130103194,992.785471438318,53.08048537935146,0.005405016549486406,0.005360568893418947,0.006944263964151417,0.005850457597809482,8,24,38,0.013829207979142666
trial_trace_normalized,trial_normalization,43,5,254,62,0.6935483870967742,0.6935483870967742,0.6934686442883164,0.7668428602136583,1300.2189016854027,59.88124079766717,,,,,8,24,38,0.013737458037212491
f2_components_2,f2_reduction,43,5,254,62,0.7419354838709677,0.7419354838709677,0.7416666666666667,0.6679631526641413,1311.1600601887833,56.638732164714234,,,,,8,16,38,0.012095958925783634
f2_components_1,f2_reduction,43,5,254,62,0.7258064516129032,0.7258064516129032,0.7257351027842831,0.6815668193787506,1311.1600601887833,56.638732164714234,,,,,8,8,38,0.012243457953445613
fusion_hard_vote,voting,43,5,254,62,0.6612903225806451,0.6612903225806452,0.6604954367666231,2.211933816877265,1311.1600601887833,56.638732164714234,,,,,8,24,38,0.010492707951925695
fusion_soft_vote,voting,43,5,254,62,0.7096774193548387,0.7096774193548387,0.7096774193548387,0.6417365281231325,1311.1600601887833,56.638732164714234,,,,,8,24,38,0.011400499963201582
baseline,reference,44,1,252,64,0.625,0.625,0.6156156156156156,0.7491685560547126,1236.7864848920979,54.78108319696098,,,,,8,24,38,0.013023957959376276
covariance_ridge_1e3,covariance,44,1,252,64,0.625,0.625,0.6156156156156156,0.7485732303379777,1171.0565836377868,54.2204356978172,,,,,8,24,38,0.012781874975189567
covariance_ledoit_wolf,covariance,44,1,252,64,0.625,0.625,0.6156156156156156,0.7559835012425402,1145.4345876820353,50.07869065688561,0.0015482341429535577,0.001289484421518571,0.009565379654907344,0.008472905515948473,8,24,38,0.014002875075675547
covariance_oas,covariance,44,1,252,64,0.640625,0.640625,0.6333748443337484,0.7495020833440964,945.6226881802324,51.18752888397686,0.005517820348014609,0.005395955200073506,0.00730341427306813,0.006210410961165106,8,24,38,0.013399666990153491
trial_trace_normalized,trial_normalization,44,1,252,64,0.625,0.625,0.6216748768472906,0.860160620586574,1213.1832236784694,57.96040001181742,,,,,8,24,38,0.013668291037902236
f2_components_2,f2_reduction,44,1,252,64,0.609375,0.609375,0.5974842767295597,0.7650859078739314,1236.7864848920979,54.78108319696098,,,,,8,16,38,0.012034791987389326
f2_components_1,f2_reduction,44,1,252,64,0.609375,0.609375,0.6014943960149439,0.7562499365456834,1236.7864848920979,54.78108319696098,,,,,8,8,38,0.011428541969507933
fusion_hard_vote,voting,44,1,252,64,0.59375,0.59375,0.5901477832512315,2.241310753920665,1236.7864848920979,54.78108319696098,,,,,8,24,38,0.010288584046065807
fusion_soft_vote,voting,44,1,252,64,0.609375,0.609375,0.6014943960149439,0.6505215104842869,1236.7864848920979,54.78108319696098,,,,,8,24,38,0.010730625013820827
baseline,reference,44,2,252,64,0.640625,0.640625,0.6405372405372405,0.682929947674497,1270.828279684982,57.42290440972538,,,,,8,24,38,0.011962207965552807
covariance_ridge_1e3,covariance,44,2,252,64,0.625,0.625,0.624633431085044,0.6826944582002668,1201.7747578255046,56.84130497399875,,,,,8,24,38,0.012161666993051767
covariance_ledoit_wolf,covariance,44,2,252,64,0.671875,0.671875,0.6717948717948719,0.6683470495946904,1175.7465246894456,52.96532656513236,0.0015137973706827329,0.001297302415011616,0.009124032384890303,0.007234745413145275,8,24,38,0.013903541956096888
covariance_oas,covariance,44,2,252,64,0.671875,0.671875,0.6717948717948719,0.6603221157208512,967.4100791252721,53.95455529493433,0.005473917160980377,0.005385948174609784,0.007019358490942993,0.005496129184362291,8,24,38,0.013776584062725306
trial_trace_normalized,trial_normalization,44,2,252,64,0.625,0.625,0.6235294117647059,0.7516339705570894,1281.034052212054,59.71317354170606,,,,,8,24,38,0.013537124963477254
f2_components_2,f2_reduction,44,2,252,64,0.609375,0.609375,0.6092796092796093,0.6824630632561564,1270.828279684982,57.42290440972538,,,,,8,16,38,0.011233625002205372
f2_components_1,f2_reduction,44,2,252,64,0.671875,0.671875,0.6717948717948719,0.610855272485937,1270.828279684982,57.42290440972538,,,,,8,8,38,0.011628750013187528
fusion_hard_vote,voting,44,2,252,64,0.59375,0.59375,0.5933528836754643,2.2223045775253567,1270.828279684982,57.42290440972538,,,,,8,24,38,0.011331209097988904
fusion_soft_vote,voting,44,2,252,64,0.59375,0.59375,0.5933528836754643,0.6443223430933094,1270.828279684982,57.42290440972538,,,,,8,24,38,0.011628000065684319
baseline,reference,44,3,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.853893094304244,1333.8174248318926,57.45735435447079,,,,,8,24,38,0.012297124951146543
covariance_ridge_1e3,covariance,44,3,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.8551742517228939,1257.663065819766,56.85567569268358,,,,,8,24,38,0.012208250002004206
covariance_ledoit_wolf,covariance,44,3,253,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.8537820854536529,1228.495212471396,52.58524674364458,0.001528028448801666,0.0012995767078613901,0.009547380169408778,0.007860598907623964,8,24,38,0.014003416988998652
covariance_oas,covariance,44,3,253,63,0.5873015873015873,0.5871975806451613,0.5871975806451613,0.8574582542329643,1002.5738671581672,53.75028310617041,0.0054948486954443255,0.005360703579733102,0.0073222807448139055,0.005664921445925784,8,24,38,0.013955375063233078
trial_trace_normalized,trial_normalization,44,3,253,63,0.6190476190476191,0.6184475806451613,0.6181818181818182,0.7684829600959648,1340.3206908713248,59.714253263097554,,,,,8,24,38,0.014152250019833446
f2_components_2,f2_reduction,44,3,253,63,0.6031746031746031,0.6033266129032258,0.6031746031746031,0.8429897051323314,1333.8174248318926,57.45735435447079,,,,,8,16,38,0.012259250041097403
f2_components_1,f2_reduction,44,3,253,63,0.6031746031746031,0.6028225806451613,0.6027742749054225,0.8638352735386958,1333.8174248318926,57.45735435447079,,,,,8,8,38,0.011901166988536716
fusion_hard_vote,voting,44,3,253,63,0.5714285714285714,0.5720766129032258,0.5709962168978562,3.3426516435045737,1333.8174248318926,57.45735435447079,,,,,8,24,38,0.01071487506851554
fusion_soft_vote,voting,44,3,253,63,0.5555555555555556,0.5569556451612903,0.552738336713996,0.6817972769178092,1333.8174248318926,57.45735435447079,,,,,8,24,38,0.011239874991588295
