c,seed,fold,training_cases,validation_cases,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
2.5,42,3,253,63,0.932806324110672,0.6349206349206349,0.6355846774193548,0.6345523329129886,"[[19, 13], [10, 21]]"
3.0,42,3,253,63,0.932806324110672,0.6507936507936508,0.6512096774193548,0.6507056451612903,"[[20, 12], [10, 21]]"
4.0,42,3,253,63,0.9525691699604744,0.6349206349206349,0.6350806451612903,0.634920634920635,"[[20, 12], [11, 20]]"
5.0,42,3,253,63,0.9604743083003953,0.6349206349206349,0.6350806451612903,0.634920634920635,"[[20, 12], [11, 20]]"
1.0,42,4,253,63,0.8893280632411067,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
1.25,42,4,253,63,0.8932806324110671,0.6349206349206349,0.6360887096774194,0.6334429547179358,"[[18, 14], [9, 22]]"
1.5,42,4,253,63,0.9130434782608695,0.6349206349206349,0.6360887096774194,0.6334429547179358,"[[18, 14], [9, 22]]"
2.0,42,4,253,63,0.9367588932806324,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
2.5,42,4,253,63,0.9486166007905138,0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]"
3.0,42,4,253,63,0.9604743083003953,0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]"
4.0,42,4,253,63,0.9683794466403162,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
5.0,42,4,253,63,0.9802371541501976,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
1.0,42,5,254,62,0.9094488188976378,0.6290322580645161,0.6290322580645161,0.6266038229903117,"[[17, 14], [9, 22]]"
1.25,42,5,254,62,0.9094488188976378,0.6129032258064516,0.6129032258064515,0.6112852664576802,"[[17, 14], [10, 21]]"
1.5,42,5,254,62,0.9173228346456693,0.6129032258064516,0.6129032258064515,0.6112852664576802,"[[17, 14], [10, 21]]"
2.0,42,5,254,62,0.9330708661417323,0.6129032258064516,0.6129032258064515,0.6112852664576802,"[[17, 14], [10, 21]]"
2.5,42,5,254,62,0.9330708661417323,0.5967741935483871,0.596774193548387,0.5958279009126466,"[[17, 14], [11, 20]]"
3.0,42,5,254,62,0.937007874015748,0.5967741935483871,0.596774193548387,0.5958279009126466,"[[17, 14], [11, 20]]"
4.0,42,5,254,62,0.9448818897637795,0.5967741935483871,0.596774193548387,0.5958279009126466,"[[17, 14], [11, 20]]"
5.0,42,5,254,62,0.9606299212598425,0.6290322580645161,0.6290322580645161,0.628161668839635,"[[18, 13], [10, 21]]"
1.0,43,1,252,64,0.9087301587301587,0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]"
