accuracy,balanced_accuracy,macro_f1,confusion_matrix,model,seed,fold,training_cases,validation_cases,parameters,final_train_loss,final_train_accuracy,final_validation_loss
0.640625,0.640625,0.6405372405372406,"[[20, 12], [11, 21]]",tiny_eegnet,42,2,252,64,1050,0.6503457266186911,0.6468253968253969,0.6523174047470093
0.47619047619047616,0.47580645161290325,0.4756620428751577,"[[16, 16], [17, 14]]",tiny_eegnet,42,3,253,63,1050,0.644805403094989,0.616600790513834,0.7095635732014974
0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]",tiny_eegnet,42,4,253,63,1050,0.641914963251046,0.6758893280632411,0.7303477393256294
0.5645161290322581,0.564516129032258,0.5616653574234092,"[[15, 16], [11, 20]]",tiny_eegnet,42,5,254,62,1050,0.6482417039045199,0.6456692913385826,0.6731581841745684
0.59375,0.59375,0.5933528836754642,"[[18, 14], [12, 20]]",tiny_eegnet,43,1,252,64,1050,0.6323487342350067,0.6349206349206349,0.6407734155654907
0.546875,0.546875,0.537733499377335,"[[22, 10], [19, 13]]",tiny_eegnet,43,2,252,64,1050,0.6424659471663218,0.6349206349206349,0.7060486972332001
0.5555555555555556,0.5564516129032258,0.5545454545454545,"[[16, 16], [12, 19]]",tiny_eegnet,43,3,253,63,1050,0.6572391298919799,0.6245059288537549,0.6678883386036706
0.5396825396825397,0.5398185483870968,0.5396825396825397,"[[17, 15], [14, 17]]",tiny_eegnet,43,4,253,63,1050,0.634973861483246,0.6284584980237155,0.7095219445607018
0.6451612903225806,0.6451612903225806,0.6451612903225806,"[[20, 11], [11, 20]]",tiny_eegnet,43,5,254,62,1050,0.6463538793128306,0.6338582677165354,0.6538312665877803
0.625,0.625,0.624633431085044,"[[21, 11], [13, 19]]",tiny_eegnet,44,1,252,64,1050,0.663696183098687,0.623015873015873,0.6728611290454865
0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]",tiny_eegnet,44,2,252,64,1050,0.6552361382378472,0.626984126984127,0.6384108662605286
0.4603174603174603,0.4591733870967742,0.4568965517241379,"[[17, 15], [19, 12]]",tiny_eegnet,44,3,253,63,1050,0.6509924651134626,0.6561264822134387,0.7129825713142516
0.5396825396825397,0.5378024193548387,0.5321382842509603,"[[21, 11], [18, 13]]",tiny_eegnet,44,4,253,63,1050,0.6315848007503706,0.6719367588932806,0.7107992626371837
0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]",tiny_eegnet,44,5,254,62,1050,0.6515902646883266,0.6377952755905512,0.7324882938015845
0.59375,0.59375,0.5789473684210527,"[[25, 7], [19, 13]]",tiny_multiscale_cnn,42,1,252,64,6434,0.591342154003325,0.6984126984126984,0.6601150333881378
0.578125,0.578125,0.5780219780219781,"[[19, 13], [14, 18]]",tiny_multiscale_cnn,42,2,252,64,6434,0.5422933631473117,0.7380952380952381,0.6955166161060333
0.42857142857142855,0.4259072580645161,0.41060291060291054,"[[19, 13], [23, 8]]",tiny_multiscale_cnn,42,3,253,63,6434,0.595888778626212,0.7114624505928854,0.7289686959887308
0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]",tiny_multiscale_cnn,42,4,253,63,6434,0.5568778071950076,0.7312252964426877,0.7100433470710875
0.5806451612903226,0.5806451612903225,0.5802083333333332,"[[17, 14], [12, 19]]",tiny_multiscale_cnn,42,5,254,62,6434,0.5928073042021023,0.6811023622047244,0.6777013963268649
0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]",tiny_multiscale_cnn,43,1,252,64,6434,0.5765666885981484,0.7261904761904762,0.6646082401275635
0.546875,0.546875,0.5205373288555928,"[[10, 22], [7, 25]]",tiny_multiscale_cnn,43,2,252,64,6434,0.6166852693709116,0.6626984126984127,0.6912437677383423
0.5238095238095238,0.5241935483870968,0.5236895161290323,"[[16, 16], [14, 17]]",tiny_multiscale_cnn,43,3,253,63,6434,0.5773952845999375,0.7272727272727273,0.6905644734700521
0.5714285714285714,0.5700604838709677,0.5675057208237986,"[[21, 11], [16, 15]]",tiny_multiscale_cnn,43,4,253,63,6434,0.5849745528028888,0.6996047430830039,0.7273497505793496
0.6774193548387096,0.6774193548387096,0.6774193548387096,"[[21, 10], [10, 21]]",tiny_multiscale_cnn,43,5,254,62,6434,0.5586772227850486,0.7362204724409449,0.7191874288743542
0.625,0.625,0.6235294117647059,"[[18, 14], [10, 22]]",tiny_multiscale_cnn,44,1,252,64,6434,0.5814396086193266,0.7261904761904762,0.6414726972579956
0.5625,0.5625,0.5586206896551724,"[[21, 11], [17, 15]]",tiny_multiscale_cnn,44,2,252,64,6434,0.5731168852912055,0.7142857142857143,0.6763559579849243
0.5555555555555556,0.5504032258064516,0.5,"[[28, 4], [24, 7]]",tiny_multiscale_cnn,44,3,253,63,6434,0.6247586186224293,0.6482213438735178,0.7530563293941437
0.5873015873015873,0.5851814516129032,0.5787037037037037,"[[23, 9], [17, 14]]",tiny_multiscale_cnn,44,4,253,63,6434,0.562601960223654,0.7430830039525692,0.7081231314038473
0.5967741935483871,0.5967741935483871,0.5915678524374177,"[[22, 9], [16, 15]]",tiny_multiscale_cnn,44,5,254,62,6434,0.5991907795583169,0.6771653543307087,0.7296549274075416
