outer_seed,outer_fold,inner_seed,inner_fold,c,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
42,4,42004,4,1.0,0.9424083769633508,0.5967741935483871,0.596774193548387,0.5958279009126466,"[[20, 11], [14, 17]]"
42,4,42004,1,3.0,0.9682539682539683,0.53125,0.53125,0.5294117647058825,"[[15, 17], [13, 19]]"
42,4,42004,2,3.0,1.0,0.59375,0.59375,0.5835835835835835,"[[14, 18], [8, 24]]"
42,4,42004,3,3.0,0.9842105263157894,0.5714285714285714,0.5710685483870968,0.5709962168978562,"[[19, 13], [14, 17]]"
42,4,42004,4,3.0,0.9790575916230366,0.5806451612903226,0.5806451612903225,0.5788923719958202,"[[20, 11], [15, 16]]"
42,4,42004,1,10.0,1.0,0.53125,0.53125,0.5307917888563051,"[[16, 16], [14, 18]]"
42,4,42004,2,10.0,1.0,0.578125,0.578125,0.5599694423223835,"[[12, 20], [7, 25]]"
42,4,42004,3,10.0,1.0,0.5714285714285714,0.5705645161290323,0.5696939033645332,"[[20, 12], [15, 16]]"
42,4,42004,4,10.0,1.0,0.5967741935483871,0.596774193548387,0.5941345902068604,"[[21, 10], [15, 16]]"
42,5,42005,1,0.001,0.6421052631578947,0.5625,0.5625,0.5620723362658846,"[[19, 13], [15, 17]]"
42,5,42005,2,0.001,0.6526315789473685,0.546875,0.546875,0.5467643467643467,"[[17, 15], [14, 18]]"
42,5,42005,3,0.001,0.612565445026178,0.5873015873015873,0.5871975806451613,0.5871975806451613,"[[19, 13], [13, 18]]"
42,5,42005,4,0.001,0.675392670157068,0.5079365079365079,0.5115927419354839,0.4823747680890538,"[[9, 23], [8, 23]]"
42,5,42005,1,0.003,0.6631578947368421,0.59375,0.59375,0.5933528836754642,"[[20, 12], [14, 18]]"
42,5,42005,2,0.003,0.6736842105263158,0.546875,0.546875,0.5467643467643467,"[[17, 15], [14, 18]]"
42,5,42005,3,0.003,0.6230366492146597,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
42,5,42005,4,0.003,0.6858638743455497,0.47619047619047616,0.4793346774193548,0.4564705882352941,"[[9, 23], [10, 21]]"
42,5,42005,1,0.01,0.7157894736842105,0.625,0.625,0.624633431085044,"[[19, 13], [11, 21]]"
42,5,42005,2,0.01,0.7157894736842105,0.53125,0.53125,0.5307917888563051,"[[16, 16], [14, 18]]"
42,5,42005,3,0.01,0.6910994764397905,0.5555555555555556,0.5544354838709677,0.552738336713996,"[[20, 12], [16, 15]]"
42,5,42005,4,0.01,0.7382198952879581,0.47619047619047616,0.4793346774193548,0.4564705882352941,"[[9, 23], [10, 21]]"
42,5,42005,1,0.03,0.7526315789473684,0.640625,0.640625,0.6405372405372406,"[[20, 12], [11, 21]]"
42,5,42005,2,0.03,0.7684210526315789,0.53125,0.53125,0.5294117647058825,"[[15, 17], [13, 19]]"
42,5,42005,3,0.03,0.7643979057591623,0.5714285714285714,0.5705645161290323,0.5696939033645332,"[[20, 12], [15, 16]]"
42,5,42005,4,0.03,0.7801047120418848,0.5396825396825397,0.5423387096774194,0.5277849573533213,"[[12, 20], [9, 22]]"
42,5,42005,1,0.1,0.8052631578947368,0.65625,0.65625,0.65625,"[[21, 11], [11, 21]]"
42,5,42005,2,0.1,0.8421052631578947,0.515625,0.515625,0.5145583557621727,"[[15, 17], [14, 18]]"
42,5,42005,3,0.1,0.8586387434554974,0.5714285714285714,0.5705645161290323,0.5696939033645332,"[[20, 12], [15, 16]]"
42,5,42005,4,0.1,0.8167539267015707,0.5396825396825397,0.5413306451612903,0.5354691075514875,"[[14, 18], [11, 20]]"
42,5,42005,1,0.3,0.868421052631579,0.609375,0.609375,0.6069761729304839,"[[22, 10], [15, 17]]"
42,5,42005,2,0.3,0.8947368421052632,0.53125,0.53125,0.5270935960591133,"[[14, 18], [12, 20]]"
42,5,42005,3,0.3,0.8848167539267016,0.6031746031746031,0.6023185483870968,0.6015684290412344,"[[21, 11], [14, 17]]"
42,5,42005,4,0.3,0.8848167539267016,0.5873015873015873,0.5887096774193548,0.584685598377282,"[[16, 16], [10, 21]]"
42,5,42005,1,1.0,0.9421052631578948,0.59375,0.59375,0.59375,"[[19, 13], [13, 19]]"
42,5,42005,2,1.0,0.9473684210526315,0.53125,0.53125,0.5270935960591133,"[[14, 18], [12, 20]]"
42,5,42005,3,1.0,0.9424083769633508,0.6349206349206349,0.6345766129032258,0.6345523329129887,"[[21, 11], [12, 19]]"
42,5,42005,4,1.0,0.9267015706806283,0.5238095238095238,0.5241935483870968,0.5236895161290323,"[[16, 16], [14, 17]]"
42,5,42005,1,3.0,0.9736842105263158,0.609375,0.609375,0.6092796092796093,"[[20, 12], [13, 19]]"
42,5,42005,2,3.0,0.9842105263157894,0.53125,0.53125,0.5270935960591133,"[[14, 18], [12, 20]]"
42,5,42005,3,3.0,0.9685863874345549,0.6507936507936508,0.6507056451612903,0.6507056451612903,"[[21, 11], [11, 20]]"
42,5,42005,4,3.0,0.9685863874345549,0.5079365079365079,0.5075604838709677,0.5074401008827238,"[[17, 15], [16, 15]]"
42,5,42005,1,10.0,1.0,0.625,0.625,0.6235294117647059,"[[22, 10], [14, 18]]"
42,5,42005,2,10.0,1.0,0.515625,0.515625,0.5126504544338,"[[14, 18], [13, 19]]"
42,5,42005,3,10.0,1.0,0.6507936507936508,0.6502016129032258,0.65,"[[22, 10], [12, 19]]"
42,5,42005,4,10.0,0.9947643979057592,0.5396825396825397,0.5393145161290323,0.53921815889029,"[[18, 14], [15, 16]]"
43,1,43001,1,0.001,0.6223404255319149,0.625,0.625,0.624633431085044,"[[19, 13], [11, 21]]"
43,1,43001,2,0.001,0.6137566137566137,0.6349206349206349,0.6370967741935484,0.6289372599231754,"[[16, 16], [7, 24]]"
43,1,43001,3,0.001,0.6402116402116402,0.5555555555555556,0.5564516129032258,0.5545454545454545,"[[16, 16], [12, 19]]"
43,1,43001,4,0.001,0.6578947368421053,0.5,0.5,0.49882659713168187,"[[14, 17], [14, 17]]"
43,1,43001,1,0.003,0.6329787234042553,0.640625,0.640625,0.6398336187912894,"[[19, 13], [10, 22]]"
43,1,43001,2,0.003,0.6455026455026455,0.6031746031746031,0.6048387096774194,0.5995423340961099,"[[16, 16], [9, 22]]"
43,1,43001,3,0.003,0.6772486772486772,0.5714285714285714,0.5715725806451613,0.5714285714285715,"[[18, 14], [13, 18]]"
43,1,43001,4,0.003,0.6578947368421053,0.5161290322580645,0.5161290322580645,0.5141065830721003,"[[14, 17], [13, 18]]"
43,1,43001,1,0.01,0.6914893617021277,0.59375,0.59375,0.59375,"[[19, 13], [13, 19]]"
43,1,43001,2,0.01,0.6825396825396826,0.6666666666666666,0.6678427419354839,0.6653174803946369,"[[19, 13], [8, 23]]"
43,1,43001,3,0.01,0.7037037037037037,0.5873015873015873,0.5882056451612903,0.5863636363636363,"[[17, 15], [11, 20]]"
43,1,43001,4,0.01,0.7105263157894737,0.532258064516129,0.532258064516129,0.532136351808483,"[[16, 15], [14, 17]]"
43,1,43001,1,0.03,0.7712765957446809,0.515625,0.515625,0.5145583557621727,"[[15, 17], [14, 18]]"
43,1,43001,2,0.03,0.7566137566137566,0.6349206349206349,0.6360887096774194,0.6334429547179358,"[[18, 14], [9, 22]]"
43,1,43001,3,0.03,0.7619047619047619,0.5873015873015873,0.5877016129032258,0.5871975806451613,"[[18, 14], [12, 19]]"
43,1,43001,4,0.03,0.7473684210526316,0.532258064516129,0.532258064516129,0.532136351808483,"[[17, 14], [15, 16]]"
43,1,43001,1,0.1,0.8563829787234043,0.515625,0.515625,0.5145583557621727,"[[15, 17], [14, 18]]"
43,1,43001,2,0.1,0.8412698412698413,0.5873015873015873,0.5887096774193548,0.584685598377282,"[[16, 16], [10, 21]]"
43,1,43001,3,0.1,0.8042328042328042,0.6190476190476191,0.6189516129032258,0.6189516129032258,"[[20, 12], [12, 19]]"
43,1,43001,4,0.1,0.8368421052631579,0.5806451612903226,0.5806451612903226,0.5806451612903226,"[[18, 13], [13, 18]]"
43,1,43001,1,0.3,0.9042553191489362,0.5,0.5,0.4995112414467253,"[[15, 17], [15, 17]]"
43,1,43001,2,0.3,0.8888888888888888,0.6349206349206349,0.6355846774193548,0.6345523329129886,"[[19, 13], [10, 21]]"
43,1,43001,3,0.3,0.8677248677248677,0.5873015873015873,0.5871975806451613,0.5871975806451613,"[[19, 13], [13, 18]]"
43,1,43001,4,0.3,0.9,0.5645161290322581,0.564516129032258,0.5634941329856584,"[[19, 12], [15, 16]]"
43,1,43001,1,1.0,0.9414893617021277,0.546875,0.546875,0.5467643467643467,"[[18, 14], [15, 17]]"
43,1,43001,2,1.0,0.9206349206349206,0.5714285714285714,0.5720766129032258,0.5709962168978562,"[[17, 15], [12, 19]]"
43,1,43001,3,1.0,0.9206349206349206,0.6031746031746031,0.6033266129032258,0.6031746031746031,"[[19, 13], [12, 19]]"
43,1,43001,4,1.0,0.9578947368421052,0.532258064516129,0.532258064516129,0.5262187088274045,"[[20, 11], [18, 13]]"
43,1,43001,1,3.0,0.9840425531914894,0.546875,0.546875,0.5467643467643467,"[[18, 14], [15, 17]]"
43,1,43001,2,3.0,0.9841269841269841,0.5873015873015873,0.5882056451612903,0.5863636363636363,"[[17, 15], [11, 20]]"
43,1,43001,3,3.0,0.9788359788359788,0.6507936507936508,0.6507056451612903,0.6507056451612903,"[[21, 11], [11, 20]]"
