pipeline,representation,classifier,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,fit_seconds,accuracy,balanced_accuracy,macro_f1,confusion_matrix
fourier_pca__logistic,fourier_pca,logistic,43,2,252,64,20,0.6349206349206349,0.0005227499641478062,0.609375,0.609375,0.6014943960149439,"[[24, 8], [17, 15]]"
fourier_pca__fisher,fourier_pca,fisher,43,2,252,64,20,0.6349206349206349,0.0012418340193107724,0.625,0.625,0.6156156156156156,"[[25, 7], [17, 15]]"
current__logistic,current,logistic,43,3,253,63,196,0.8695652173913043,0.008963832980953157,0.6825396825396826,0.6829637096774194,0.6824596774193548,"[[21, 11], [9, 22]]"
current__fisher,current,fisher,43,3,253,63,196,0.782608695652174,0.0049587920075282454,0.5873015873015873,0.5882056451612903,0.5863636363636363,"[[17, 15], [11, 20]]"
terminal__logistic,terminal,logistic,43,3,253,63,252,0.8063241106719368,0.008778208051808178,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
terminal__fisher,terminal,fisher,43,3,253,63,252,0.7944664031620553,0.006850333069451153,0.6984126984126984,0.6985887096774194,0.6984126984126984,"[[22, 10], [9, 22]]"
combined__logistic,combined,logistic,43,3,253,63,448,0.9446640316205533,0.02464724995661527,0.7301587301587301,0.7303427419354839,0.7301587301587302,"[[23, 9], [8, 23]]"
combined__fisher,combined,fisher,43,3,253,63,448,0.8735177865612648,0.017711541964672506,0.7301587301587301,0.7308467741935484,0.7298865069356872,"[[22, 10], [7, 24]]"
fourier_pca__logistic,fourier_pca,logistic,43,3,253,63,20,0.6561264822134387,0.0004518340574577451,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
fourier_pca__fisher,fourier_pca,fisher,43,3,253,63,20,0.6561264822134387,0.0011689170496538281,0.6190476190476191,0.6199596774193548,0.6181818181818182,"[[18, 14], [10, 21]]"
