seed,fold,bin_ms,window_ms,samples_per_bin,bins_per_window,training_cases,validation_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,model_fit_seconds
44,2,10,300,1,30,252,64,0.75,0.75,0.7490196078431373,0.46313731127691266,0.010534041794016957
44,2,20,300,2,15,252,64,0.75,0.75,0.7490196078431373,0.46313731127691266,0.010534041794016957
44,2,50,300,5,6,252,64,0.75,0.75,0.7490196078431373,0.46313731127691266,0.010534041794016957
44,2,100,300,10,3,252,64,0.75,0.75,0.7490196078431373,0.46313731127691266,0.010534041794016957
44,2,10,400,1,40,252,64,0.859375,0.859375,0.8585114222549741,0.4070967698433635,0.010123040992766619
44,2,20,400,2,20,252,64,0.859375,0.859375,0.8585114222549741,0.4070967698433635,0.010123040992766619
44,2,50,400,5,8,252,64,0.859375,0.859375,0.8585114222549741,0.4070967698433635,0.010123040992766619
44,2,100,400,10,4,252,64,0.859375,0.859375,0.8585114222549741,0.4070967698433635,0.010123040992766619
44,2,10,500,1,50,252,64,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.010446249973028898
44,2,20,500,2,25,252,64,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.010446249973028898
44,2,50,500,5,10,252,64,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.010446249973028898
44,2,100,500,10,5,252,64,0.796875,0.796875,0.7956276099238517,0.48590992760902807,0.010446249973028898
44,3,10,200,1,20,253,63,0.7777777777777778,0.7777217741935484,0.7777217741935484,0.4158628917177268,0.010594542138278484
44,3,20,200,2,10,253,63,0.7777777777777778,0.7777217741935484,0.7777217741935484,0.4158628917177268,0.010594542138278484
44,3,50,200,5,4,253,63,0.7777777777777778,0.7777217741935484,0.7777217741935484,0.4158628917177268,0.010594542138278484
44,3,100,200,10,2,253,63,0.7777777777777778,0.7777217741935484,0.7777217741935484,0.4158628917177268,0.010594542138278484
44,3,10,300,1,30,253,63,0.8412698412698413,0.8422379032258065,0.8409090909090909,0.3026750684302572,0.010631209006533027
44,3,20,300,2,15,253,63,0.8412698412698413,0.8422379032258065,0.8409090909090909,0.3026750684302572,0.010631209006533027
44,3,50,300,5,6,253,63,0.8412698412698413,0.8422379032258065,0.8409090909090909,0.3026750684302572,0.010631209006533027
44,3,100,300,10,3,253,63,0.8412698412698413,0.8422379032258065,0.8409090909090909,0.3026750684302572,0.010631209006533027
44,3,10,400,1,40,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.3650504559454541,0.012199582997709513
44,3,20,400,2,20,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.3650504559454541,0.012199582997709513
44,3,50,400,5,8,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.3650504559454541,0.012199582997709513
44,3,100,400,10,4,253,63,0.8571428571428571,0.858366935483871,0.8565646344548443,0.3650504559454541,0.012199582997709513
44,3,10,500,1,50,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.01190758403390646
44,3,20,500,2,25,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.01190758403390646
44,3,50,500,5,10,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.01190758403390646
44,3,100,500,10,5,253,63,0.8412698412698413,0.841733870967742,0.8412298387096775,0.4343022913698903,0.01190758403390646
44,4,10,200,1,20,253,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.5678710537881262,0.010400041937828064
44,4,20,200,2,10,253,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.5678710537881262,0.010400041937828064
44,4,50,200,5,4,253,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.5678710537881262,0.010400041937828064
44,4,100,200,10,2,253,63,0.746031746031746,0.7449596774193548,0.7444219066937119,0.5678710537881262,0.010400041937828064
44,4,10,300,1,30,253,63,0.7936507936507936,0.7923387096774194,0.7917620137299771,0.45648929776286346,0.020251041976734996
44,4,20,300,2,15,253,63,0.7936507936507936,0.7923387096774194,0.7917620137299771,0.45648929776286346,0.020251041976734996
44,4,50,300,5,6,253,63,0.7936507936507936,0.7923387096774194,0.7917620137299771,0.45648929776286346,0.020251041976734996
44,4,100,300,10,3,253,63,0.7936507936507936,0.7923387096774194,0.7917620137299771,0.45648929776286346,0.020251041976734996
44,4,10,400,1,40,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.47913642533659806,0.010883874958381057
44,4,20,400,2,20,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.47913642533659806,0.010883874958381057
44,4,50,400,5,8,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.47913642533659806,0.010883874958381057
44,4,100,400,10,4,253,63,0.8095238095238095,0.8089717741935484,0.8090909090909091,0.47913642533659806,0.010883874958381057
44,4,10,500,1,50,253,63,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.011787916999310255
44,4,20,500,2,25,253,63,0.7777777777777778,0.7762096774193548,0.775,0.4162340099675268,0.011787916999310255
