subset,groups,seed,fold,training_cases,validation_cases,feature_count,training_accuracy,accuracy,balanced_accuracy,macro_f1,confusion_matrix
none,none,44,1,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,44,1,252,64,140,0.7182539682539683,0.75,0.75,0.7490196078431373,"[[22, 10], [6, 26]]"
B,B,44,1,252,64,84,0.6865079365079365,0.671875,0.671875,0.6717948717948719,"[[21, 11], [10, 22]]"
C,C,44,1,252,64,28,0.6865079365079365,0.65625,0.65625,0.6532019704433498,"[[18, 14], [8, 24]]"
AB,A+B,44,1,252,64,224,0.7380952380952381,0.765625,0.765625,0.7651088818204063,"[[23, 9], [6, 26]]"
AC,A+C,44,1,252,64,168,0.7896825396825397,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
BC,B+C,44,1,252,64,112,0.7658730158730159,0.703125,0.703125,0.7024712503058479,"[[21, 11], [8, 24]]"
ABC,A+B+C,44,1,252,64,252,0.8015873015873016,0.71875,0.71875,0.7176470588235293,"[[21, 11], [7, 25]]"
none,none,44,2,252,64,0,0.503968253968254,0.5,0.5,0.3333333333333333,"[[32, 0], [32, 0]]"
A,A,44,2,252,64,140,0.7301587301587301,0.640625,0.640625,0.6405372405372406,"[[21, 11], [12, 20]]"
B,B,44,2,252,64,84,0.7579365079365079,0.65625,0.65625,0.6559139784946237,"[[20, 12], [10, 22]]"
C,C,44,2,252,64,28,0.6904761904761905,0.65625,0.65625,0.6549019607843137,"[[23, 9], [13, 19]]"
AB,A+B,44,2,252,64,224,0.7658730158730159,0.640625,0.640625,0.6405372405372406,"[[21, 11], [12, 20]]"
AC,A+C,44,2,252,64,168,0.8015873015873016,0.65625,0.65625,0.6559139784946237,"[[22, 10], [12, 20]]"
BC,B+C,44,2,252,64,112,0.7817460317460317,0.640625,0.640625,0.6398336187912894,"[[22, 10], [13, 19]]"
