architecture_name,seed,held_month,training_sessions,held_sessions,training_windows,held_windows,pooled_loss,pooled_r2_x,pooled_r2_y,pooled_r2_mean,session_macro_r2,worst_session_r2
candidate_48x48,44,2016-10,22,11,9735,2478,0.48759570717811584,0.534031867980957,0.6323193311691284,0.5831755995750427,0.5860064110972665,-0.07297784090042114
candidate_48x48,44,2016-12,29,4,11175,1038,0.5015239119529724,0.4920732378959656,0.575556755065918,0.5338150262832642,0.5477969124913216,0.2453291118144989
candidate_48x48,44,2016-04,26,7,8503,3710,0.44891905784606934,0.4084666967391968,0.5276541709899902,0.4680604338645935,0.42285249488694326,0.22749602794647217
candidate_48x48,44,2016-09,26,7,10991,1222,0.3211546242237091,0.6753902435302734,0.7861657738685608,0.7307779788970947,0.730980634689331,0.6733400225639343
baseline_64x64,45,2016-06,29,4,8448,3765,0.5443934202194214,0.42619240283966064,0.4820702075958252,0.4541313052177429,0.3964654877781868,-0.12907761335372925
baseline_64x64,45,2016-10,22,11,9735,2478,0.47612231969833374,0.561450719833374,0.6305888891220093,0.5960198044776917,0.5979096997867931,-0.0496368408203125
baseline_64x64,45,2016-12,29,4,11175,1038,0.5171135663986206,0.5098495483398438,0.5419657230377197,0.5259076356887817,0.5379111170768738,0.22791922092437744
baseline_64x64,45,2016-04,26,7,8503,3710,0.4709090292453766,0.38732051849365234,0.4813850522041321,0.4343527853488922,0.3832522247518812,0.18398380279541016
baseline_64x64,45,2016-09,26,7,10991,1222,0.3046715557575226,0.699715256690979,0.7922159433364868,0.7459656000137329,0.7457854407174247,0.7094950675964355
candidate_48x48,45,2016-06,29,4,8448,3765,0.5682045817375183,0.41187387704849243,0.4497950077056885,0.43083444237709045,0.374783992767334,-0.16561871767044067
candidate_48x48,45,2016-10,22,11,9735,2478,0.48212501406669617,0.5491622686386108,0.6301892995834351,0.589675784111023,0.5926742933013223,-0.05729430913925171
candidate_48x48,45,2016-12,29,4,11175,1038,0.5039776563644409,0.5244088172912598,0.5523161888122559,0.5383625030517578,0.5501516088843346,0.2457108199596405
candidate_48x48,45,2016-04,26,7,8503,3710,0.48165592551231384,0.377990186214447,0.4556986689567566,0.4168444275856018,0.36669681327683584,0.16771897673606873
candidate_48x48,45,2016-09,26,7,10991,1222,0.3173012435436249,0.6887890100479126,0.7826250791549683,0.7357070446014404,0.7353410465376717,0.6936661005020142
baseline_64x64,46,2016-06,29,4,8448,3765,0.5703943371772766,0.3961268663406372,0.45968592166900635,0.4279063940048218,0.35969989001750946,-0.1906093955039978
baseline_64x64,46,2016-10,22,11,9735,2478,0.4863891005516052,0.5367594361305237,0.6322407722473145,0.5845000743865967,0.5865321999246423,-0.05490618944168091
baseline_64x64,46,2016-12,29,4,11175,1038,0.5144693851470947,0.5002270936965942,0.5516800880432129,0.5259535908699036,0.5407848805189133,0.19026213884353638
baseline_64x64,46,2016-04,26,7,8503,3710,0.46950775384902954,0.37069809436798096,0.5376063585281372,0.4541522264480591,0.40911886521748136,0.2308521866798401
baseline_64x64,46,2016-09,26,7,10991,1222,0.3181934654712677,0.681917130947113,0.7858668565750122,0.7338919639587402,0.7340369735445295,0.6827815771102905
candidate_48x48,46,2016-06,29,4,8448,3765,0.5834227800369263,0.3921458125114441,0.438598096370697,0.41537195444107056,0.3424823731184006,-0.16956448554992676
candidate_48x48,46,2016-10,22,11,9735,2478,0.49853238463401794,0.5313762426376343,0.6191520094871521,0.5752640962600708,0.5783071409572255,-0.1432296633720398
candidate_48x48,46,2016-12,29,4,11175,1038,0.5136582255363464,0.49281561374664307,0.5573698878288269,0.5250927209854126,0.5378690212965012,0.24397605657577515
candidate_48x48,46,2016-04,26,7,8503,3710,0.46015313267707825,0.3950698971748352,0.5116580724716187,0.45336398482322693,0.4008463706289019,0.18269437551498413
