accuracy,balanced_accuracy,macro_f1,confusion_matrix,model,seed,fold,training_cases,validation_cases,train_loss,train_accuracy,validation_loss
0.5396825396825397,0.5408266129032258,0.5378193776878321,"[[15, 17], [12, 19]]",tiny_eegnet,42,4,253,63,0.641914963251046,0.6758893280632411,0.7303477393256294
0.5645161290322581,0.564516129032258,0.5616653574234092,"[[15, 16], [11, 20]]",tiny_eegnet,42,5,254,62,0.6482417039045199,0.6456692913385826,0.6731581841745684
0.59375,0.59375,0.5933528836754642,"[[18, 14], [12, 20]]",tiny_eegnet,43,1,252,64,0.6323487342350067,0.6349206349206349,0.6407734155654907
0.546875,0.546875,0.537733499377335,"[[22, 10], [19, 13]]",tiny_eegnet,43,2,252,64,0.6424659471663218,0.6349206349206349,0.7060486972332001
0.5555555555555556,0.5564516129032258,0.5545454545454545,"[[16, 16], [12, 19]]",tiny_eegnet,43,3,253,63,0.6572391298919799,0.6245059288537549,0.6678883386036706
0.5396825396825397,0.5398185483870968,0.5396825396825397,"[[17, 15], [14, 17]]",tiny_eegnet,43,4,253,63,0.634973861483246,0.6284584980237155,0.7095219445607018
0.6451612903225806,0.6451612903225806,0.6451612903225806,"[[20, 11], [11, 20]]",tiny_eegnet,43,5,254,62,0.6463538793128306,0.6338582677165354,0.6538312665877803
0.625,0.625,0.624633431085044,"[[21, 11], [13, 19]]",tiny_eegnet,44,1,252,64,0.663696183098687,0.623015873015873,0.6728611290454865
0.671875,0.671875,0.6698599852616065,"[[24, 8], [13, 19]]",tiny_eegnet,44,2,252,64,0.6552361382378472,0.626984126984127,0.6384108662605286
0.4603174603174603,0.4591733870967742,0.4568965517241379,"[[17, 15], [19, 12]]",tiny_eegnet,44,3,253,63,0.6509924651134626,0.6561264822134387,0.7129825713142516
0.5396825396825397,0.5378024193548387,0.5321382842509603,"[[21, 11], [18, 13]]",tiny_eegnet,44,4,253,63,0.6315848007503706,0.6719367588932806,0.7107992626371837
0.5645161290322581,0.564516129032258,0.5644028103044496,"[[18, 13], [14, 17]]",tiny_eegnet,44,5,254,62,0.6515902646883266,0.6377952755905512,0.7324882938015845
0.515625,0.515625,0.5155067155067155,"[[16, 16], [15, 17]]",csp_lda,42,1,252,64,0.6180404871427203,0.6349206349206349,0.7224362582353661
0.59375,0.59375,0.5835835835835835,"[[24, 8], [18, 14]]",csp_lda,42,2,252,64,0.6102837928840055,0.6507936507936508,0.6705841618994247
0.5396825396825397,0.5403225806451613,0.53921815889029,"[[16, 16], [13, 18]]",csp_lda,42,3,253,63,0.6123169888313397,0.6679841897233202,0.7377787906098655
0.5238095238095238,0.5246975806451613,0.5227272727272727,"[[15, 17], [13, 18]]",csp_lda,42,4,253,63,0.60971085036793,0.6442687747035574,0.7509850703122862
0.46774193548387094,0.46774193548387094,0.4642576590730557,"[[12, 19], [14, 17]]",csp_lda,42,5,254,62,0.6310861798010785,0.6535433070866141,0.758273206010592
0.59375,0.59375,0.5921568627450979,"[[21, 11], [15, 17]]",csp_lda,43,1,252,64,0.6092286893089011,0.6309523809523809,0.648327680576795
0.546875,0.546875,0.5467643467643467,"[[18, 14], [15, 17]]",csp_lda,43,2,252,64,0.6026651039229517,0.6746031746031746,0.7684447935761658
0.6031746031746031,0.6038306451612903,0.6027742749054226,"[[18, 14], [11, 20]]",csp_lda,43,3,253,63,0.6242253795999751,0.6363636363636364,0.7144090935752925
0.49206349206349204,0.49294354838709675,0.4909090909090909,"[[14, 18], [14, 17]]",csp_lda,43,4,253,63,0.6234819580654591,0.6245059288537549,0.7653262831987901
0.5161290322580645,0.5161290322580645,0.5161290322580645,"[[16, 15], [15, 16]]",csp_lda,43,5,254,62,0.5952686891503189,0.7007874015748031,0.7613882481997266
0.65625,0.65625,0.6507936507936507,"[[17, 15], [7, 25]]",csp_lda,44,1,252,64,0.6098038812929957,0.6388888888888888,0.6452822717624949
0.515625,0.515625,0.5058530510585305,"[[21, 11], [20, 12]]",csp_lda,44,2,252,64,0.5711588054451926,0.6904761904761905,0.812423448858052
