variant,hidden_components,covariance_shrinkage,session,held_month,decision,diagnostic_decision,hidden_state_kld_to_severe,output_state_kld_to_severe
hidden_8_shrinkage_0.05,8,0.05,indy_20160630_01,2016-06,abstain,abstain,2.125202223027103,1.2308218633335266
hidden_8_shrinkage_0.10,8,0.1,indy_20160622_01,2016-06,pass,abstain,0.992325108533771,0.780530176461804
hidden_8_shrinkage_0.10,8,0.1,indy_20160624_03,2016-06,pass,pass,0.2097978922270303,0.1746875725065811
hidden_8_shrinkage_0.10,8,0.1,indy_20160627_01,2016-06,pass,pass,0.05916631400769082,0.0213352148826285
hidden_8_shrinkage_0.10,8,0.1,indy_20160630_01,2016-06,abstain,abstain,1.8908818499571258,1.242814011536968
hidden_8_shrinkage_0.20,8,0.2,indy_20160622_01,2016-06,pass,abstain,0.9673457090684797,0.794793832079823
hidden_8_shrinkage_0.20,8,0.2,indy_20160624_03,2016-06,pass,pass,0.20454950528967983,0.1687933198505436
hidden_8_shrinkage_0.20,8,0.2,indy_20160627_01,2016-06,pass,pass,0.05127465574780261,0.019512424809888334
hidden_8_shrinkage_0.20,8,0.2,indy_20160630_01,2016-06,abstain,abstain,1.6083491743640093,1.2649136343390437
hidden_3_shrinkage_0.05,3,0.05,indy_20160915_01,2016-09,pass,pass,0.016519022067377407,0.013606379500846437
hidden_3_shrinkage_0.05,3,0.05,indy_20160916_01,2016-09,pass,pass,0.04787265784882069,0.05338988174689297
hidden_3_shrinkage_0.05,3,0.05,indy_20160921_01,2016-09,pass,pass,0.05333119980682883,0.05410981778919796
hidden_3_shrinkage_0.05,3,0.05,indy_20160927_04,2016-09,pass,pass,0.03157912050182625,0.03233128279006542
hidden_3_shrinkage_0.05,3,0.05,indy_20160927_06,2016-09,pass,pass,0.06778194402893331,0.0779976022195291
hidden_3_shrinkage_0.05,3,0.05,indy_20160930_02,2016-09,pass,pass,0.004691362964156877,0.004526862229859719
hidden_3_shrinkage_0.05,3,0.05,indy_20160930_05,2016-09,pass,pass,0.032787542493079115,0.013481647959608066
hidden_3_shrinkage_0.10,3,0.1,indy_20160915_01,2016-09,pass,pass,0.016040285950225466,0.013543167575050058
hidden_3_shrinkage_0.10,3,0.1,indy_20160916_01,2016-09,pass,pass,0.04594419259445997,0.053404909300542154
hidden_3_shrinkage_0.10,3,0.1,indy_20160921_01,2016-09,pass,pass,0.051464446509153695,0.05387788369786308
hidden_3_shrinkage_0.10,3,0.1,indy_20160927_04,2016-09,pass,pass,0.03088161447775431,0.03148088448300171
hidden_3_shrinkage_0.10,3,0.1,indy_20160927_06,2016-09,pass,pass,0.06747756201889193,0.07021949523954525
hidden_3_shrinkage_0.10,3,0.1,indy_20160930_02,2016-09,pass,pass,0.004617891911268645,0.00444362190737973
hidden_3_shrinkage_0.10,3,0.1,indy_20160930_05,2016-09,pass,pass,0.030002618161393116,0.013477762696831267
hidden_3_shrinkage_0.20,3,0.2,indy_20160915_01,2016-09,pass,pass,0.015166040118568994,0.013426649821854715
hidden_3_shrinkage_0.20,3,0.2,indy_20160916_01,2016-09,pass,pass,0.042406513019552936,0.05343165045008134
hidden_3_shrinkage_0.20,3,0.2,indy_20160921_01,2016-09,pass,pass,0.048060908681922906,0.053453540380285866
hidden_3_shrinkage_0.20,3,0.2,indy_20160927_04,2016-09,pass,pass,0.029596585307851916,0.02991945318504474
hidden_3_shrinkage_0.20,3,0.2,indy_20160927_06,2016-09,pass,pass,0.06691300300435277,0.05614225867215312
hidden_3_shrinkage_0.20,3,0.2,indy_20160930_02,2016-09,pass,pass,0.004489518219211413,0.004290857945383313
hidden_3_shrinkage_0.20,3,0.2,indy_20160930_05,2016-09,pass,pass,0.024896815359672187,0.013470691373507869
hidden_5_shrinkage_0.05,5,0.05,indy_20160915_01,2016-09,pass,pass,0.035808209424940084,0.013606379500846437
hidden_5_shrinkage_0.05,5,0.05,indy_20160916_01,2016-09,pass,pass,0.05627181876230451,0.05338988174689297
hidden_5_shrinkage_0.05,5,0.05,indy_20160921_01,2016-09,pass,pass,0.06197076182606393,0.05410981778919796
hidden_5_shrinkage_0.05,5,0.05,indy_20160927_04,2016-09,pass,pass,0.04007039498529048,0.03233128279006542
hidden_5_shrinkage_0.05,5,0.05,indy_20160927_06,2016-09,pass,pass,0.09499645248737526,0.0779976022195291
hidden_5_shrinkage_0.05,5,0.05,indy_20160930_02,2016-09,pass,pass,0.024490356252577207,0.004526862229859719
hidden_5_shrinkage_0.05,5,0.05,indy_20160930_05,2016-09,pass,pass,0.038212269216057804,0.013481647959608066
hidden_5_shrinkage_0.10,5,0.1,indy_20160915_01,2016-09,pass,pass,0.03578545664366038,0.013543167575050058
hidden_5_shrinkage_0.10,5,0.1,indy_20160916_01,2016-09,pass,pass,0.055128563646516374,0.053404909300542154
hidden_5_shrinkage_0.10,5,0.1,indy_20160921_01,2016-09,pass,pass,0.06124713872894705,0.05387788369786308
hidden_5_shrinkage_0.10,5,0.1,indy_20160927_04,2016-09,pass,pass,0.0398213240471559,0.03148088448300171
hidden_5_shrinkage_0.10,5,0.1,indy_20160927_06,2016-09,pass,pass,0.09331125995956548,0.07021949523954525
hidden_5_shrinkage_0.10,5,0.1,indy_20160930_02,2016-09,pass,pass,0.024220518801118463,0.00444362190737973
hidden_5_shrinkage_0.10,5,0.1,indy_20160930_05,2016-09,pass,pass,0.03596465243157165,0.013477762696831267
hidden_5_shrinkage_0.20,5,0.2,indy_20160915_01,2016-09,pass,pass,0.035654102706368096,0.013426649821854715
hidden_5_shrinkage_0.20,5,0.2,indy_20160916_01,2016-09,pass,pass,0.05277850321285441,0.05343165045008134
hidden_5_shrinkage_0.20,5,0.2,indy_20160921_01,2016-09,pass,pass,0.05971639793427257,0.053453540380285866
hidden_5_shrinkage_0.20,5,0.2,indy_20160927_04,2016-09,pass,pass,0.039248814232382724,0.02991945318504474
hidden_5_shrinkage_0.20,5,0.2,indy_20160927_06,2016-09,pass,pass,0.08999056668989956,0.05614225867215312
hidden_5_shrinkage_0.20,5,0.2,indy_20160930_02,2016-09,pass,pass,0.023637669457679745,0.004290857945383313
hidden_5_shrinkage_0.20,5,0.2,indy_20160930_05,2016-09,pass,pass,0.031471589865005284,0.013470691373507869
hidden_8_shrinkage_0.05,8,0.05,indy_20160915_01,2016-09,pass,pass,0.05345146111951548,0.013606379500846437
hidden_8_shrinkage_0.05,8,0.05,indy_20160916_01,2016-09,pass,pass,0.05746309943521131,0.05338988174689297
hidden_8_shrinkage_0.05,8,0.05,indy_20160921_01,2016-09,pass,pass,0.07711575296287838,0.05410981778919796
hidden_8_shrinkage_0.05,8,0.05,indy_20160927_04,2016-09,pass,pass,0.05125570725143417,0.03233128279006542
hidden_8_shrinkage_0.05,8,0.05,indy_20160927_06,2016-09,pass,pass,0.10801737830744182,0.0779976022195291
hidden_8_shrinkage_0.05,8,0.05,indy_20160930_02,2016-09,pass,pass,0.03225853006476648,0.004526862229859719
hidden_8_shrinkage_0.05,8,0.05,indy_20160930_05,2016-09,pass,pass,0.04893515349749868,0.013481647959608066
hidden_8_shrinkage_0.10,8,0.1,indy_20160915_01,2016-09,pass,pass,0.053999034043070084,0.013543167575050058
hidden_8_shrinkage_0.10,8,0.1,indy_20160916_01,2016-09,pass,pass,0.05775987228038335,0.053404909300542154
hidden_8_shrinkage_0.10,8,0.1,indy_20160921_01,2016-09,pass,pass,0.07912313839255222,0.05387788369786308
hidden_8_shrinkage_0.10,8,0.1,indy_20160927_04,2016-09,pass,pass,0.0516954124091214,0.03148088448300171
hidden_8_shrinkage_0.10,8,0.1,indy_20160927_06,2016-09,pass,pass,0.10671175188966837,0.07021949523954525
hidden_8_shrinkage_0.10,8,0.1,indy_20160930_02,2016-09,pass,pass,0.03209325614638631,0.00444362190737973
hidden_8_shrinkage_0.10,8,0.1,indy_20160930_05,2016-09,pass,pass,0.04746366924412578,0.013477762696831267
hidden_8_shrinkage_0.20,8,0.2,indy_20160915_01,2016-09,pass,pass,0.054350693300619174,0.013426649821854715
hidden_8_shrinkage_0.20,8,0.2,indy_20160916_01,2016-09,pass,pass,0.05752533440128585,0.05343165045008134
hidden_8_shrinkage_0.20,8,0.2,indy_20160921_01,2016-09,pass,pass,0.08215889738411292,0.053453540380285866
hidden_8_shrinkage_0.20,8,0.2,indy_20160927_04,2016-09,pass,pass,0.05196169978296587,0.02991945318504474
hidden_8_shrinkage_0.20,8,0.2,indy_20160927_06,2016-09,pass,pass,0.10277520733530764,0.05614225867215312
hidden_8_shrinkage_0.20,8,0.2,indy_20160930_02,2016-09,pass,pass,0.031273497923905276,0.004290857945383313
hidden_8_shrinkage_0.20,8,0.2,indy_20160930_05,2016-09,pass,pass,0.043746044849981014,0.013470691373507869
hidden_3_shrinkage_0.05,3,0.05,indy_20161005_06,2016-10,pass,pass,0.024856082552485514,0.019933809985398013
hidden_3_shrinkage_0.05,3,0.05,indy_20161006_02,2016-10,pass,warning,0.022657029812131822,0.01942104096093289
hidden_3_shrinkage_0.05,3,0.05,indy_20161007_02,2016-10,pass,pass,0.05917743950203863,0.04390237448782032
hidden_3_shrinkage_0.05,3,0.05,indy_20161011_03,2016-10,pass,pass,0.0915274101830076,0.11135588668078365
hidden_3_shrinkage_0.05,3,0.05,indy_20161013_03,2016-10,abstain,abstain,2.085361715058404,1.5757756079052514
hidden_3_shrinkage_0.05,3,0.05,indy_20161014_04,2016-10,pass,pass,0.036162826652388326,0.025877712491545583
hidden_3_shrinkage_0.05,3,0.05,indy_20161017_02,2016-10,pass,pass,0.05043168714219683,0.017187121839832415
hidden_3_shrinkage_0.05,3,0.05,indy_20161024_03,2016-10,pass,pass,0.07683174866216388,0.055432384685701115
hidden_3_shrinkage_0.05,3,0.05,indy_20161025_04,2016-10,pass,pass,0.01614349949518717,0.009291086814258191
hidden_3_shrinkage_0.05,3,0.05,indy_20161026_03,2016-10,pass,pass,0.025687365417378052,0.015012708767143414
