channel_zero_based,activity_mean_counts_per_bin,cross_session_cv,silent_session_fraction,max_train_month_log_shift,composite_score,composite_rank,selected_activity64,selected_stable64,selected_stable72,selected_stable80,selected_stable88
53,0.7350574135780334,0.6604299545288086,0.0,0.29869508743286133,0.7173684210526315,16,True,True,True,True,True
54,0.3459080755710602,0.8630083799362183,0.1724137931034483,1.4233102798461914,0.14999999999999997,93,False,False,False,False,False
55,0.8030574917793274,0.41133683919906616,0.0,0.5216339826583862,0.7915789473684209,11,True,True,True,True,True
56,0.4517471492290497,0.7052487730979919,0.034482758620689655,0.8906005620956421,0.3663157894736842,67,True,False,True,True,True
57,0.44439080357551575,0.9078779220581055,0.1724137931034483,0.6562171578407288,0.28157894736842104,79,True,False,False,True,True
58,0.4386896789073944,0.6314971446990967,0.0,0.7088304758071899,0.47684210526315796,56,False,True,True,True,True
59,0.6848275661468506,0.5758171081542969,0.06896551724137931,0.5533639192581177,0.5778947368421052,34,True,True,True,True,True
60,0.4342988431453705,0.758629560470581,0.10344827586206896,1.1093815565109253,0.2694736842105263,82,False,False,False,False,True
61,0.6495401859283447,0.5376513004302979,0.0,0.23822763562202454,0.7642105263157895,15,True,True,True,True,True
62,0.4112873375415802,0.6752933859825134,0.2413793103448276,0.5447548627853394,0.33684210526315794,69,False,False,True,True,True
63,0.8142299056053162,0.42222973704338074,0.034482758620689655,0.336362361907959,0.7752631578947369,14,True,True,True,True,True
64,0.46666666865348816,0.41649749875068665,0.0,0.4438590109348297,0.6494736842105263,25,True,True,True,True,True
65,0.656367838382721,0.7364230751991272,0.0,0.8221555948257446,0.5294736842105264,45,True,True,True,True,True
66,0.8870804905891418,0.3481411039829254,0.034482758620689655,0.36569744348526,0.7968421052631579,10,True,True,True,True,True
67,0.8521608114242554,0.582139790058136,0.10344827586206896,0.6755974292755127,0.6089473684210527,32,True,True,True,True,True
68,0.562666654586792,0.606531023979187,0.034482758620689655,0.7326380014419556,0.49105263157894735,53,True,True,True,True,True
69,0.657471239566803,0.5668136477470398,0.10344827586206896,0.35822227597236633,0.628421052631579,30,True,True,True,True,True
70,0.6941609978675842,1.0852954387664795,0.20689655172413793,1.616044044494629,0.31157894736842107,74,True,False,False,True,True
71,1.2857012748718262,0.3213442862033844,0.0,0.3607167899608612,0.8868421052631579,3,True,True,True,True,True
72,0.6889196038246155,0.571621298789978,0.034482758620689655,1.2739777565002441,0.5231578947368422,48,True,True,True,True,True
73,1.1158621311187744,0.32113116979599,0.0,0.24587106704711914,0.9031578947368422,2,True,True,True,True,True
74,0.3855632245540619,0.6234344840049744,0.0,0.9232195615768433,0.3884210526315789,65,False,False,True,True,True
75,1.6781147718429565,0.38314369320869446,0.0,0.477655827999115,0.8457894736842104,5,True,True,True,True,True
76,0.4935632050037384,0.6761173009872437,0.0,0.5410827398300171,0.5194736842105263,49,True,True,True,True,True
77,0.02314942516386509,5.264129638671875,0.9655172413793104,0.0,0.20157894736842105,88,False,False,False,False,True
78,0.3059999942779541,1.8975023031234741,0.7241379310344828,6.858564853668213,0.05473684210526315,94,False,False,False,False,False
79,0.6908506155014038,0.619465172290802,0.0,0.5058040618896484,0.6489473684210527,26,True,True,True,True,True
80,0.5237241387367249,0.4529593884944916,0.034482758620689655,0.22189366817474365,0.6536842105263159,24,True,True,True,True,True
81,0.15639081597328186,4.21628475189209,0.8620689655172413,6.069196701049805,0.018421052631578935,96,False,False,False,False,False
82,0.42947128415107727,0.7177214026451111,0.034482758620689655,0.9384253621101379,0.32052631578947366,73,False,False,False,True,True
83,0.26783907413482666,1.5157769918441772,0.5517241379310345,6.401364326477051,0.053157894736842126,95,False,False,False,False,False
84,0.38811492919921875,0.5579400658607483,0.0,0.291910320520401,0.5626315789473685,36,False,True,True,True,True
85,0.5468046069145203,0.5601558089256287,0.034482758620689655,0.4787265658378601,0.5578947368421052,39,True,True,True,True,True
86,0.4939769506454468,0.7575135827064514,0.034482758620689655,0.5683087706565857,0.42578947368421055,62,True,True,True,True,True
87,0.9336321353912354,0.8371735215187073,0.0,1.234569787979126,0.5310526315789474,44,True,True,True,True,True
88,0.5853563547134399,0.5781869888305664,0.0,0.7869659662246704,0.5421052631578948,42,True,True,True,True,True
89,0.506988525390625,0.449081689119339,0.0,0.5784487128257751,0.6094736842105263,31,True,True,True,True,True
90,0.6075403094291687,0.9473997950553894,0.034482758620689655,1.5403761863708496,0.3331578947368421,71,True,False,True,True,True
91,0.2547586262226105,0.5368358492851257,0.0,0.6777622103691101,0.4247368421052632,63,False,True,True,True,True
92,0.49202293157577515,0.6156060695648193,0.0,0.4912264943122864,0.5431578947368422,41,True,True,True,True,True
93,0.6308275461196899,0.6169843077659607,0.0,0.5294713973999023,0.6021052631578947,33,True,True,True,True,True
94,0.8179770708084106,0.5777314305305481,0.10344827586206896,0.3370320498943329,0.6789473684210526,21,True,True,True,True,True
95,0.3301379084587097,0.660002589225769,0.13793103448275862,0.46684738993644714,0.3352631578947369,70,False,False,True,True,True
