architecture_name,seed,session,held_month,windows,loss,r2_x,r2_y,r2_mean
baseline_64x64,44,indy_20160419_01,2016-04,232,0.44184306263923645,0.4020320177078247,0.2849748134613037,0.3435034155845642
baseline_64x64,44,indy_20160420_01,2016-04,746,0.4650217294692993,0.47889000177383423,0.5792621970176697,0.529076099395752
baseline_64x64,44,indy_20160426_01,2016-04,851,0.4433407485485077,0.43889451026916504,0.593538761138916,0.5162166357040405
baseline_64x64,44,indy_20160915_01,2016-09,160,0.2926715314388275,0.6861237287521362,0.8096857666969299,0.7479047775268555
baseline_64x64,44,indy_20160916_01,2016-09,195,0.26735761761665344,0.7124310731887817,0.7840386033058167,0.7482348680496216
baseline_64x64,44,indy_20160921_01,2016-09,150,0.36539173126220703,0.7220978736877441,0.7909516096115112,0.7565247416496277
baseline_64x64,44,indy_20160927_04,2016-09,164,0.29040563106536865,0.6797869205474854,0.8365494012832642,0.7581681609153748
baseline_64x64,44,indy_20160927_06,2016-09,180,0.42690667510032654,0.5493532419204712,0.7836488485336304,0.6665010452270508
baseline_64x64,44,indy_20160930_02,2016-09,200,0.3094748854637146,0.6932387351989746,0.7578976154327393,0.7255681753158569
baseline_64x64,44,indy_20160930_05,2016-09,173,0.31271663308143616,0.6002598404884338,0.7812272310256958,0.6907435655593872
candidate_48x48,44,indy_20160622_01,2016-06,1194,0.39654216170310974,0.46159857511520386,0.17099547386169434,0.3162970244884491
candidate_48x48,44,indy_20160624_03,2016-06,219,0.36122432351112366,0.5567916631698608,0.6626275181770325,0.609709620475769
candidate_48x48,44,indy_20160627_01,2016-06,1651,0.4469972848892212,0.5517995357513428,0.7000175714492798,0.6259085536003113
candidate_48x48,44,indy_20160630_01,2016-06,701,1.2860552072525024,-0.17761075496673584,-0.16331303119659424,-0.17046189308166504
candidate_48x48,44,indy_20161005_06,2016-10,157,0.38334184885025024,0.6109566688537598,0.7449536323547363,0.677955150604248
candidate_48x48,44,indy_20161006_02,2016-10,221,0.2952929139137268,0.6648163199424744,0.7965692281723022,0.7306927442550659
candidate_48x48,44,indy_20161007_02,2016-10,215,0.3354240357875824,0.6372507214546204,0.7866203784942627,0.7119355201721191
candidate_48x48,44,indy_20161011_03,2016-10,306,0.29351454973220825,0.5824398994445801,0.7340351343154907,0.6582375168800354
candidate_48x48,44,indy_20161013_03,2016-10,228,1.278448462486267,-0.1020650863647461,-0.04389059543609619,-0.07297784090042114
candidate_48x48,44,indy_20161014_04,2016-10,229,0.2668159306049347,0.648964524269104,0.7807692885398865,0.7148668766021729
candidate_48x48,44,indy_20161017_02,2016-10,217,0.5767830610275269,0.5531754493713379,0.6291426420211792,0.5911590456962585
candidate_48x48,44,indy_20161024_03,2016-10,206,0.827515184879303,0.3619958162307739,0.39921778440475464,0.3806068003177643
candidate_48x48,44,indy_20161025_04,2016-10,222,0.34171488881111145,0.6998900175094604,0.7906918525695801,0.7452909350395203
candidate_48x48,44,indy_20161026_03,2016-10,218,0.39009860157966614,0.6555649042129517,0.7459163665771484,0.70074063539505
candidate_48x48,44,indy_20161027_03,2016-10,259,0.43153202533721924,0.6143742799758911,0.6007519960403442,0.6075631380081177
candidate_48x48,44,indy_20161206_02,2016-12,338,0.7094631791114807,0.2265549898147583,0.2641032338142395,0.2453291118144989
candidate_48x48,44,indy_20161207_02,2016-12,192,0.3430328965187073,0.6754133701324463,0.7874360084533691,0.7314246892929077
candidate_48x48,44,indy_20161212_02,2016-12,250,0.4050738215446472,0.6021395921707153,0.6845952272415161,0.6433674097061157
candidate_48x48,44,indy_20161220_02,2016-12,258,0.44051334261894226,0.5432726144790649,0.5988602638244629,0.5710664391517639
candidate_48x48,44,indy_20160407_02,2016-04,378,0.4480344355106354,0.1473497748374939,0.30764228105545044,0.22749602794647217
candidate_48x48,44,indy_20160411_01,2016-04,446,0.4597339332103729,0.382753849029541,0.5302658081054688,0.4565098285675049
candidate_48x48,44,indy_20160411_02,2016-04,409,0.4520666301250458,0.3405942916870117,0.48057007789611816,0.41058218479156494
candidate_48x48,44,indy_20160418_01,2016-04,648,0.4602041244506836,0.40363961458206177,0.5093610286712646,0.4565003216266632
candidate_48x48,44,indy_20160419_01,2016-04,232,0.4649641811847687,0.35468190908432007,0.2949081063270569,0.3247950077056885
candidate_48x48,44,indy_20160420_01,2016-04,746,0.4523584246635437,0.4839276671409607,0.6206688284873962,0.5522982478141785
candidate_48x48,44,indy_20160426_01,2016-04,851,0.426148921251297,0.46350789070129395,0.6000637412071228,0.5317858457565308
candidate_48x48,44,indy_20160915_01,2016-09,160,0.29729345440864563,0.6721229553222656,0.8122790455818176,0.7422009706497192
candidate_48x48,44,indy_20160916_01,2016-09,195,0.2658068835735321,0.7246794700622559,0.7766621112823486,0.7506707906723022
candidate_48x48,44,indy_20160921_01,2016-09,150,0.37328189611434937,0.7254677414894104,0.7803088426589966,0.7528883218765259
candidate_48x48,44,indy_20160927_04,2016-09,164,0.2820303440093994,0.6902164816856384,0.8405013084411621,0.7653589248657227
candidate_48x48,44,indy_20160927_06,2016-09,180,0.4295293092727661,0.5897219181060791,0.7569581270217896,0.6733400225639343
candidate_48x48,44,indy_20160930_02,2016-09,200,0.31570425629615784,0.6888669729232788,0.7519012689590454,0.7203841209411621
candidate_48x48,44,indy_20160930_05,2016-09,173,0.29104214906692505,0.6272034049034119,0.79683917760849,0.7120212912559509
baseline_64x64,45,indy_20160622_01,2016-06,1194,0.34072527289390564,0.5010451674461365,0.3677971363067627,0.4344211518764496
baseline_64x64,45,indy_20160624_03,2016-06,219,0.336716890335083,0.5892195701599121,0.6837198734283447,0.6364697217941284
