variant,family,covariance,trial_trace_normalization,f2_components_per_class,fusion,seed,evaluated_cases,accuracy,balanced_accuracy,macro_f1,mean_log_loss,confusion_matrix
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,43,316,0.8449367088607594,0.8449505267796339,0.8449351559761654,0.4110208301541232,"[[134, 25], [24, 133]]"
cov_empirical__trial_off__f2_2__fusion_soft_vote,combination_ablation,empirical,0,2,soft_vote,44,316,0.8291139240506329,0.829307374914874,0.829004329004329,0.4393335598380888,"[[127, 32], [22, 135]]"
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,42,316,0.8575949367088608,0.8576092617073269,0.857593510590356,0.34894523678865463,"[[136, 23], [22, 135]]"
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,43,316,0.8670886075949367,0.8672034611224613,0.8670673076923077,0.29862962503685125,"[[135, 24], [18, 139]]"
cov_empirical__trial_off__f2_1__fusion_lda,combination_ablation,empirical,0,1,lda,44,316,0.8639240506329114,0.8640187477466651,0.8639117850310976,0.3362033269488978,"[[135, 24], [19, 138]]"
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,42,316,0.8354430379746836,0.835516564515483,0.8354364459399912,0.44510075891969814,"[[131, 28], [24, 133]]"
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,43,316,0.8575949367088608,0.8576493209950727,0.857593510590356,0.41469385217437144,"[[135, 24], [21, 136]]"
cov_empirical__trial_off__f2_1__fusion_soft_vote,combination_ablation,empirical,0,1,soft_vote,44,316,0.8386075949367089,0.8388214557545167,0.8384765722876473,0.44420768185663007,"[[128, 31], [20, 137]]"
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,42,316,0.819620253164557,0.8197532347874855,0.8195750818883913,0.368617542366582,"[[127, 32], [25, 132]]"
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,43,316,0.8481012658227848,0.8482153587309218,0.8480769230769231,0.31215451903980385,"[[132, 27], [21, 136]]"
cov_empirical__trial_on__f2_3__fusion_lda,combination_ablation,empirical,1,3,lda,44,316,0.8607594936708861,0.8608740936586148,0.8607371794871794,0.3292663522193015,"[[134, 25], [19, 138]]"
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,42,316,0.8259493670886076,0.8260425429635861,0.8259336785281481,0.4393568646482995,"[[129, 30], [25, 132]]"
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,43,316,0.8354430379746836,0.835516564515483,0.8354364459399912,0.42528095895920254,"[[131, 28], [24, 133]]"
cov_empirical__trial_on__f2_3__fusion_soft_vote,combination_ablation,empirical,1,3,soft_vote,44,316,0.819620253164557,0.8196731162119938,0.8196184467477843,0.4416473724007656,"[[129, 30], [27, 130]]"
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,42,316,0.8481012658227848,0.8482153587309218,0.8480769230769231,0.33913447295551,"[[132, 27], [21, 136]]"
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,43,316,0.8481012658227848,0.8481352401554301,0.8481012658227848,0.30386546965488265,"[[134, 25], [23, 134]]"
cov_empirical__trial_on__f2_2__fusion_lda,combination_ablation,empirical,1,2,lda,44,316,0.8386075949367089,0.8387813964667709,0.8385283597342872,0.3282832200156465,"[[129, 30], [21, 136]]"
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,42,316,0.8354430379746836,0.8355566238032288,0.8354166666666667,0.43327430093585706,"[[130, 29], [23, 134]]"
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,43,316,0.8259493670886076,0.8260024836758403,0.8259476240548795,0.42440147101386344,"[[130, 29], [26, 131]]"
cov_empirical__trial_on__f2_2__fusion_soft_vote,combination_ablation,empirical,1,2,soft_vote,44,316,0.819620253164557,0.8197131754997397,0.8196039941109898,0.4385001044438316,"[[128, 31], [26, 131]]"
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,42,316,0.8639240506329114,0.8640187477466651,0.8639117850310976,0.3400350438822428,"[[135, 24], [19, 138]]"
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,43,316,0.8765822784810127,0.8767175419621039,0.8765513718183731,0.2957923774893434,"[[136, 23], [16, 141]]"
cov_empirical__trial_on__f2_1__fusion_lda,combination_ablation,empirical,1,1,lda,44,316,0.8607594936708861,0.8609141529463606,0.8607092766980564,0.34394340087513464,"[[133, 26], [18, 139]]"
